LRCA1101.MV,LRCA1101.PV,PDR1401.PV,PIC1101A.PV,TI_1145.PV
80.6651,33.29,12.365,15.0329,495.65
80.6507,33.285,12.365,15.0335,495.71
80.6357,33.28,12.365,15.0427,495.74
80.6707,33.28,12.366,15.0435,495.8
80.6551,33.275,12.366,15.0443,495.83
80.6895,33.275,12.366,15.0366,495.86
80.6733,33.27,12.368,15.0371,495.92
80.707,33.27,12.368,15.0377,495.95
80.7408,33.27,12.367,15.0382,496.04
80.7239,33.265,12.367,15.0388,496.04
80.757,33.265,12.367,15.0393,496.13
80.7395,33.26,12.367,15.0399,496.16
80.772,33.26,12.367,15.0404,496.16
80.8045,33.26,12.367,15.041,496.19
80.7864,33.255,12.366,15.0415,496.28
80.8182,33.255,12.366,15.0421,496.28
80.7995,33.25,12.367,15.034,496.37
80.7801,33.245,12.367,15.0343,496.4
80.8108,33.245,12.367,15.0346,496.4
80.7907,33.24,12.364,15.0349,496.46
80.8207,33.24,12.364,15.0352,496.52
80.8001,33.235,12.364,15.044,496.55
80.7789,33.23,12.364,15.0446,496.58
80.8076,33.23,12.365,15.0365,496.61
80.7857,33.225,12.366,15.0368,496.67
80.8139,33.225,12.365,15.0371,496.7
80.842,33.225,12.364,15.0374,496.73
80.8195,33.22,12.364,15.0377,496.76
80.847,33.22,12.363,15.0379,496.82
80.8745,33.22,12.363,15.0382,496.85
80.8514,33.215,12.363,15.0385,496.88
80.8782,33.215,12.363,15.0302,496.94
80.9051,33.215,12.362,15.0302,496.97
80.932,33.215,12.362,15.0302,497.0
80.9082,33.21,12.361,15.0302,497.06
80.9345,33.21,12.36,15.0302,497.09
80.9607,33.21,12.36,15.0302,497.15
80.987,33.21,12.36,15.0302,497.18
81.0133,33.21,12.36,15.0302,497.21
80.9889,33.205,12.359,15.0302,497.27
81.0145,33.205,12.359,15.0302,497.3
81.0401,33.205,12.359,15.0302,497.33
81.0658,33.205,12.359,15.0302,497.39
81.0408,33.2,12.358,15.0302,497.42
