CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,DR1107.PV,FI1102.PV,FI1107.PV,FI1110.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1122.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1118A.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,WR1104.PV
186263,0.3,0.3795,287.28,999.6,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5658,709.92,1773.1799,19.4346,600.06,94.4,600.06,9.975,999.6,66.2099,2.6003,76.7682,2.6,75.5955,180,4.5975,11.1284,4999.8501,28.1205,5000.04,15.7319,3000,9.1108,709.92,33,9.556,4.128,12.302,26.2155,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.2,680.05,267.32,252.55,661.9,184.015,42.2961,520.38,20.5082,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.5375,999.6,2.6003,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5659,709.92,1773.1799,19.4366,599.88,94.4,599.88,9.9751,999.6,66.2099,2.6003,76.7682,2.6,75.5955,180,4.595,11.1285,4999.8501,28.1204,5000.04,15.7319,3000,9.1108,709.92,33,9.556,4.127,12.302,26.21,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.2,680.05,267.32,252.55,661.9,184.015,42.2957,520.38,20.5077,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,286.785,999.6,2.6003,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5661,709.92,1773.1799,19.4371,599.88,94.4,599.88,9.9753,999.6,66.2098,2.6003,76.7682,2.6,75.5955,180,4.595,11.1285,4999.8501,28.1204,5000.04,15.7319,3000,9.1108,709.92,33,9.557,4.126,12.302,26.2045,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2991,520.35,20.5072,590.0375,489.11,686.12,686.1125,145.695
186263,0.3,0.3795,287.2575,1000.2,2.5995,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5649,710.08,1773.1799,19.4353,600.06,94.4,600.06,9.9747,1000.2,66.2104,2.5995,76.7682,2.6,75.5955,180,4.595,11.1286,4999.8501,28.1204,5000.04,15.7319,3000,9.1102,710.08,33,9.557,4.125,12.302,26.199,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2989,520.35,20.5067,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,286.605,1000.2,2.5995,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5648,710.08,1773.1799,19.4351,600.06,94.4,600.06,9.9746,1000.2,66.2106,2.5995,76.7682,2.6,75.5955,180,4.595,11.1287,4999.8501,28.1204,5000.04,15.7319,3000,9.1102,710.08,33,9.557,4.124,12.302,26.1935,0.15,1.0002,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2986,520.35,20.5062,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,286.5825,999.6,2.6003,4999.8501,3000,2.6,50700,180,4.595,343.2,72.5659,709.92,1773.1799,19.4348,600.06,94.4,600.06,9.9753,999.6,66.21,2.6003,76.7682,2.6,75.5955,180,4.595,11.1288,4999.8501,28.1204,5000.04,15.7319,3000,9.1108,709.92,32.995,9.557,4.122,12.302,26.199,0.15,1.0002,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1306,0.1971,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2984,520.35,20.5057,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,287.46,999.6,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5661,709.92,1773.1799,19.4346,600.06,94.4,600.06,9.9755,999.6,66.2099,2.6003,76.7682,2.6,75.5955,180,4.5975,11.1288,4999.8501,28.1204,5000.04,15.7319,3000,9.1108,709.92,32.995,9.557,4.12,12.302,26.2045,0.15,1.0002,14.9096,0.1769,0.1279,0.1307,0.244,0.1281,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2982,520.35,20.5052,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,287.3925,1000.2,2.6003,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5662,709.92,1773.1799,19.4343,600.06,94.4,600.06,9.9749,1000.2,66.2099,2.6003,76.7682,2.6,75.5955,180,4.5975,11.1289,4999.8501,28.1204,5000.04,15.7319,3000,9.1108,709.92,32.995,9.556,4.121,12.302,26.2155,0.15,1.0002,14.9096,0.1769,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2979,520.35,20.5047,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,287.505,1000.2,2.5995,4999.8501,3000,2.6,50700,180,4.5975,343.2,72.5651,710.08,1773.1799,19.4356,599.94,94.4,599.94,9.9748,1000.2,66.2105,2.5995,76.7682,2.6,75.5955,180,4.5975,11.129,4999.8501,28.1204,5000.04,15.7319,3000,9.1102,710.08,32.995,9.556,4.123,12.302,26.2265,0.15,1.0002,14.9096,0.1769,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2939,520.38,20.5043,590.0375,489.14,686.12,686.1125,145.695
186263,0.3,0.3795,287.3925,1000.2,2.5995,4999.8501,3000,2.6002,50700,180,4.5975,343.2,72.5649,710.08,1773.1799,19.4358,599.94,94.4,599.94,9.9747,1000.2,66.2107,2.5995,76.7675,2.6002,75.5955,180,4.5975,11.1291,4999.8501,28.1203,5000.04,15.7319,3000,9.1102,710.08,32.995,9.556,4.125,12.302,26.232,0.15,1.0002,14.9096,0.177,0.1279,0.1307,0.244,0.128,0.1306,0.197,0.1238,540.16,680.05,267.32,252.55,661.9,184.015,42.2935,520.38,20.5038,590.0375,489.14,686.12,686.1125,145.695
