AR1410B.PV,CCSFIC1401.PV,CCSPI1407B.PV,CCSPIC1415.PV,DR1107.PV,FI1102.PV,FI1107.PV,FI1110.PV,FI1112.PV,FI1113.PV,FI1121.PV,FI1213.PV,FI1424.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1123.PV,FIC_1127.MV,FIC_1127.PV,FI_1124.PV,FI_1127.PV,FRC1102.MV,FRC1102.PV,FRC1107.MV,FRC1107.PV,FRC1113.MV,FRC1113.PV,FRC1213.MV,FRC1213.PV,FRC1424.PV,FRCA1110.MV,FRCA1110.PV,FRCA1111.MV,FRCA1111.PV,FRCA1112.MV,FRCA1112.PV,FRQ1623.PV,FT_1122.PV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRSA1104.PV,PI1101.PV,PI1110.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1136.PV,PI_1138A.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1118A.PV,TI1212.PV,TI1611.PV,TIA1114.PV,TIA1160A.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1155.PV,TI_1145.PV,TI_1146.PV,TI_1147.PV,WR1104.PV
86.825,186714,0.2991,0.3786,286.9425,1000.2,2.5995,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5942,709.84,1771.0199,19.4793,600.12,94.28,600.12,9.9999,1000.2,66.2404,2.5995,76.8046,2.6004,75.6262,179.9875,4.5375,11.1161,5000.3247,28.0956,5000.8999,15.7189,3000.0,9.1091,709.84,33.105,9.716,4.289,12.347,22.2005,0.1481,0.9957,15.5796,0.1812,0.1302,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.28,679.8,329.12,251.425,661.7,183.69,45.4891,518.64,20.7495,589.9075,486.17,685.88,685.8875,145.607
86.925,186714,0.2991,0.3786,286.7625,1000.2,2.6003,5000.3247,3000.0,2.6004,50100,180.0,4.5375,342.78,72.5944,709.84,1771.0199,19.4788,600.12,94.28,600.12,9.9998,1000.2,66.2399,2.6003,76.8041,2.6004,75.6252,180.0,4.5375,11.1159,5000.3247,28.0953,5000.8999,15.7189,3000.0,9.1096,709.84,33.105,9.715,4.291,12.347,22.2335,0.1481,0.9957,15.5702,0.1812,0.1301,0.1328,0.2427,0.1302,0.1328,0.2006,0.1259,538.36,679.8,329.12,251.425,661.7,183.69,45.4833,518.73,20.7509,589.9075,486.17,685.88,685.8875,145.607
86.05,186703,0.2991,0.3786,287.3475,999.6,2.6003,5000.3247,3000.0,2.6004,50100,179.9875,4.5375,342.78,72.5947,709.84,1771.0199,19.4805,599.94,94.28,599.94,10.0005,999.6,66.2398,2.6003,76.8036,2.6004,75.6267,179.9875,4.5375,11.1158,5000.3247,28.0951,5000.8999,15.7189,3000.0,9.1096,709.84,33.105,9.714,4.293,12.346,22.2665,0.1482,0.9959,15.561,0.1812,0.1301,0.1328,0.2428,0.1302,0.1328,0.2006,0.1259,538.48,679.8,329.16,251.425,661.7,183.69,45.4809,518.79,20.7523,589.9075,486.17,685.88,685.8875,145.607
86.55,186692,0.2992,0.3786,286.7175,999.6,2.6003,5000.3247,3000.0,2.6,50100,179.9875,4.5375,342.78,72.5949,709.84,1771.0199,19.4808,599.94,94.28,599.94,10.0006,999.6,66.2397,2.6003,76.8046,2.6,75.6272,179.9875,4.5375,11.1156,5000.3247,28.0948,5000.8999,15.7189,3000.0,9.1091,709.84,33.105,9.714,4.294,12.344,22.305,0.1482,0.9959,15.5607,0.1812,0.1301,0.1328,0.2428,0.1302,0.1328,0.2006,0.1259,538.56,679.8,329.16,251.425,661.7,183.69,45.4745,518.88,20.7537,589.9075,486.2,685.88,685.8875,145.607
86.125,186681,0.2992,0.3786,287.1,999.6,2.5995,5000.3247,3000.0,2.6,50100,179.9875,4.5375,342.78,72.5952,709.84,1771.0199,19.481,599.94,94.28,599.94,10.0008,999.6,66.2403,2.5995,76.8046,2.6,75.6277,179.9875,4.5375,11.1154,5000.3247,28.0946,5000.8999,15.7189,3000.0,9.1086,709.84,33.11,9.713,4.295,12.345,22.338,0.1482,0.9959,15.5524,0.1812,0.1301,0.1328,0.2428,0.1301,0.1328,0.2006,0.1259,538.64,679.8,329.16,251.45,661.7,183.69,45.4715,518.94,20.7551,589.9075,486.2,685.88,685.8875,145.607
86.525,186681,0.2992,0.3787,286.605,1000.2,2.5995,5000.3247,3000.0,2.6,50100,179.9875,4.5375,342.78,72.5954,709.84,1771.0199,19.479,600.12,94.28,600.12,10.0002,1000.2,66.2405,2.5995,76.8046,2.6,75.6282,179.9875,4.5375,11.1152,5000.3247,28.0943,5000.8999,15.7189,3000.0,9.1086,709.84,33.11,9.713,4.295,12.345,22.3655,0.1482,0.9959,15.5357,0.1812,0.1301,0.1328,0.2428,0.1302,0.1328,0.2006,0.1259,538.72,679.8,329.16,251.45,661.7,183.69,45.4646,519.03,20.7565,589.9075,486.2,685.88,685.8875,145.607
86.575,186670,0.2992,0.3787,286.7625,1000.2,2.5995,5000.3247,3000.0,2.6,50100,179.9875,4.5375,342.78,72.5957,709.84,1771.0199,19.4785,600.12,94.28,600.12,10.0001,1000.2,66.2407,2.5995,76.8046,2.6,75.6287,179.9875,4.5375,11.1151,5000.3247,28.0948,5000.04,15.7189,3000.0,9.1086,709.84,33.11,9.713,4.295,12.346,22.3875,0.1483,0.9959,15.5277,0.1812,0.1301,0.1328,0.2428,0.1302,0.1328,0.2006,0.1259,538.76,679.8,329.16,251.45,661.7,183.69,45.461,519.09,20.7579,589.9075,486.23,685.88,685.8875,145.596
86.175,186670,0.2992,0.3787,286.92,1000.2,2.6003,5000.3247,3000.0,2.5998,50100,179.9875,4.5375,342.78,72.5947,710.0,1771.0199,19.478,600.12,94.28,600.12,10.0001,1000.2,66.2401,2.6003,76.8053,2.5998,75.6292,179.9875,4.5375,11.1149,5000.3247,28.0948,5000.04,15.7189,3000.0,9.1096,710.0,33.11,9.713,4.295,12.346,22.404,0.1483,0.9959,15.5199,0.1812,0.1302,0.1328,0.2429,0.1302,0.1328,0.2006,0.1259,538.84,679.8,329.16,251.45,661.7,183.69,45.4571,519.15,20.7594,589.9075,486.23,685.88,685.8875,145.596
86.1,186659,0.2992,0.3787,286.83,1000.2,2.6003,5000.3247,3000.0,2.5998,50100,179.9875,4.5375,342.78,72.5947,710.0,1771.0199,19.4798,599.94,94.28,599.94,10.0,1000.2,66.24,2.6003,76.8056,2.5998,75.6298,179.9875,4.5375,11.1147,5000.3247,28.0948,5000.04,15.7189,3000.0,9.1096,710.0,33.115,9.712,4.295,12.344,22.4315,0.1483,0.9959,15.5124,0.1812,0.1302,0.1328,0.2429,0.1302,0.1328,0.2007,0.1259,538.92,679.8,329.16,251.45,661.7,183.69,45.453,519.21,20.7608,589.9075,486.23,685.88,685.8875,145.596
86.275,186648,0.2992,0.3787,286.8975,1000.2,2.6003,5000.3247,3000.0,2.5998,50100,179.9875,4.5375,342.78,72.5947,710.0,1771.0199,19.48,599.94,94.28,599.94,9.9999,1000.2,66.2399,2.6003,76.8058,2.5998,75.6303,179.9875,4.5375,11.1145,5000.3247,28.0947,5000.04,15.7189,3000.0,9.1091,710.0,33.115,9.712,4.294,12.344,22.459,0.1484,0.996,15.5052,0.1812,0.1302,0.1328,0.2429,0.1302,0.1328,0.2007,0.1259,538.96,679.8,329.2,251.45,661.7,183.69,45.4487,519.27,20.7622,589.9075,486.26,685.88,685.8875,145.596
