AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.65,57.5625,3.8484,57.6,286.65,357.5457,571.1,2.6004,4.5775,174.1095,343.02,72.5827,710.16,19.4553,600.12,600.12,9.99,66.2275,76.7801,2.6004,4.5775,11.1177,15.7189,9.1113,174.104,343.05,710.16,74.1564,33.165,45.222,9.615,4.409,12.344,45.156,24.945,15.1768,0.1813,0.1288,0.1315,0.1288,0.2098,0.1314,0.1984,0.1244,543.28,273.6,355.7,84.6,85.185,85.23,82.2225,83.52,81.975,44.5223,523.32,520.0,20.7397,516.08,487.58,12.9265
86.15,57.6,3.8734,57.5625,286.4475,358.2,571.05,2.6004,4.5775,174.1095,343.05,72.5824,710.16,19.4548,600.12,600.18,9.9899,66.2272,76.7795,2.6004,4.5775,11.1185,15.7189,9.1113,174.104,343.05,710.16,74.177,33.165,45.252,9.614,4.409,12.344,45.222,24.9725,15.1713,0.1813,0.1288,0.1315,0.1288,0.2098,0.1314,0.1984,0.1244,543.32,273.6,355.65,84.585,85.14,85.23,82.245,83.4675,82.02,44.4976,523.41,520.0,20.7392,516.11,487.61,12.9265
86.6,57.5625,4.35,57.6,286.4475,357.9245,571.5,2.6004,4.58,174.069,343.05,72.5816,710.24,19.4536,600.18,600.18,9.9898,66.2268,76.779,2.6004,4.58,11.1168,15.7189,9.1113,174.062,343.05,710.24,74.1977,33.165,45.27,9.612,4.41,12.344,45.252,24.9945,15.1657,0.1812,0.1288,0.1315,0.1288,0.2097,0.1314,0.1984,0.1244,543.36,273.65,355.65,84.6075,85.1325,85.2675,82.2225,83.445,82.035,44.48,523.44,520.0,20.7386,516.14,487.64,12.9265
86.75,57.5625,4.4688,57.5625,287.0775,357.3046,571.0,2.6,4.58,174.0285,343.05,72.5812,710.24,19.4528,600.18,600.0,9.9897,66.2265,76.78,2.6,4.58,11.1166,15.7189,9.1108,174.02,343.05,710.24,74.2183,33.165,45.294,9.611,4.41,12.344,45.27,25.0165,15.1688,0.1812,0.1288,0.1314,0.1288,0.2097,0.1314,0.1984,0.1244,543.4,273.65,355.7,84.57,85.1475,85.2675,82.2,83.4675,82.005,44.4624,523.47,520.0,20.738,516.17,487.67,12.9265
86.175,57.5625,3.9125,57.525,286.515,357.7179,570.75,2.6,4.58,173.988,343.05,72.5808,710.24,19.4543,600.0,600.0,9.9896,66.2262,76.78,2.6,4.58,11.1165,15.7189,9.1113,173.992,343.05,710.24,74.2389,33.165,45.318,9.61,4.41,12.342,45.294,25.044,15.1635,0.1812,0.1288,0.1314,0.1287,0.2097,0.1314,0.1984,0.1244,543.44,273.65,355.7,84.6075,85.1775,85.32,82.2225,83.4975,82.02,44.4446,523.5,520.0,20.7375,516.2,487.7,12.9265
86.0,57.6,4.2234,57.6,286.245,357.3391,570.85,2.6,4.58,173.988,343.05,72.5804,710.24,19.4543,600.0,600.0,9.9896,66.2258,76.78,2.6,4.58,11.1163,15.7189,9.1113,173.978,343.05,710.24,74.2595,33.165,45.336,9.609,4.41,12.343,45.318,25.066,15.1668,0.1812,0.1288,0.1314,0.1287,0.2097,0.1314,0.1984,0.1244,543.48,273.65,355.7,84.6375,85.2075,85.35,82.2675,83.475,82.0425,44.4267,523.53,520.0,20.7369,516.23,487.7,12.9265
86.775,57.5625,4.5297,57.6,287.19,357.4768,570.65,2.6006,4.58,173.961,343.05,72.5801,710.24,19.4543,600.0,600.0,9.9895,66.2255,76.7778,2.6006,4.58,11.1161,15.7189,9.1118,173.964,343.05,710.24,74.2802,33.165,45.354,9.608,4.408,12.344,45.336,25.0825,15.1618,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.48,273.65,355.7,84.6225,85.1775,85.3125,82.245,83.52,82.035,44.4087,523.56,520.0,20.7363,516.26,487.73,12.9265
86.7,57.5625,4.6516,57.525,287.1225,357.5113,571.35,2.6006,4.58,173.9475,343.05,72.5797,710.24,19.4543,600.0,600.0,9.9894,66.2252,76.777,2.6006,4.58,11.116,15.7189,9.1118,173.95,343.05,710.24,74.3008,33.165,45.366,9.607,4.405,12.343,45.354,25.0935,15.1568,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.52,273.65,355.7,84.5775,85.125,85.29,82.2675,83.5275,81.9825,44.3905,523.59,520.0,20.7358,516.29,487.76,12.9265
86.5,57.5625,3.8937,57.5625,286.605,358.0623,570.8,2.6,4.58,173.907,343.05,72.5793,710.24,19.4543,600.0,600.0,9.9893,66.2248,76.7785,2.6,4.58,11.1158,15.7189,9.1113,173.908,343.05,710.24,74.3214,33.165,45.378,9.606,4.404,12.345,45.366,25.1045,15.1518,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.5775,85.1625,85.2675,82.23,83.535,81.9825,44.376,523.59,520.0,20.7352,516.32,487.79,12.9265
86.5,57.5625,3.8937,57.5625,286.605,358.0623,570.8,2.6,4.58,173.907,343.05,72.5789,710.24,19.4543,600.0,600.0,9.9892,66.2245,76.7785,2.6,4.58,11.1156,15.7189,9.1113,173.908,343.05,710.24,74.342,33.165,45.378,9.606,4.404,12.345,45.378,25.1045,15.1554,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.5775,85.1625,85.2675,82.23,83.535,81.9825,44.3578,523.62,520.0,20.7346,516.32,487.79,12.9265
86.5,57.5625,3.8937,57.5625,286.605,358.0623,570.8,2.6,4.58,173.907,343.05,72.5786,710.24,19.4543,600.0,600.0,9.9891,66.2241,76.7785,2.6,4.58,11.1154,15.7189,9.1113,173.908,343.05,710.24,74.3626,33.165,45.378,9.606,4.404,12.345,45.378,25.1045,15.1507,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.5775,85.1625,85.2675,82.23,83.535,81.9825,44.3431,523.62,520.0,20.734,516.32,487.79,12.9265
86.5,57.5625,3.8937,57.5625,286.605,358.0623,570.8,2.6,4.58,173.907,343.05,72.5782,710.24,19.4543,600.0,600.0,9.9891,66.2238,76.7785,2.6,4.58,11.1153,15.7189,9.1113,173.908,343.05,710.24,74.3833,33.165,45.378,9.606,4.404,12.345,45.378,25.1045,15.146,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.5775,85.1625,85.2675,82.23,83.535,81.9825,44.3285,523.62,520.0,20.7335,516.32,487.79,12.9265
86.5,57.5625,3.8937,57.5625,286.605,358.0623,570.8,2.6,4.58,173.907,343.05,72.5778,710.24,19.4543,600.0,600.0,9.989,66.2235,76.7785,2.6,4.58,11.1151,15.7189,9.1113,173.908,343.05,710.24,74.4039,33.165,45.378,9.606,4.404,12.345,45.378,25.1045,15.1413,0.1811,0.1288,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.5775,85.1625,85.2675,82.23,83.535,81.9825,44.3139,523.62,520.0,20.7329,516.32,487.79,12.9265
86.175,57.5625,4.4969,57.5625,286.7175,357.959,570.75,2.6,4.58,173.826,343.05,72.5787,710.08,19.4543,600.0,600.06,9.9889,66.2239,76.7785,2.6,4.58,11.1149,15.7189,9.1108,173.824,343.05,710.08,74.4245,33.165,45.396,9.605,4.402,12.343,45.378,25.121,15.1366,0.1811,0.1287,0.1314,0.1287,0.2096,0.1314,0.1984,0.1244,543.56,273.65,355.75,84.6225,85.2,85.305,82.26,83.5125,82.005,44.2993,523.62,520.0,20.7323,516.35,487.82,12.9265
86.2,57.6,4.3094,57.525,286.92,358.0623,570.95,2.6,4.58,173.799,343.05,72.5786,710.08,19.4536,600.06,600.06,9.9888,66.2238,76.7785,2.6,4.58,11.1148,15.7189,9.1108,173.796,343.05,710.08,74.4451,33.165,45.42,9.605,4.4,12.342,45.396,25.1485,15.1318,0.181,0.1287,0.1314,0.1287,0.2096,0.1314,0.1983,0.1243,543.56,273.7,355.75,84.66,85.2375,85.2525,82.2825,83.4975,81.9675,44.2846,523.62,520.0,20.7318,516.35,487.85,12.9265
86.2,57.5625,4.2109,57.525,286.6725,357.8557,571.25,2.6,4.58,173.7585,343.05,72.5785,710.08,19.4533,600.06,600.06,9.9887,66.2237,76.7785,2.6,4.58,11.1146,15.7189,9.1108,173.768,343.05,710.08,74.4658,33.165,45.45,9.604,4.397,12.341,45.42,25.1705,15.1357,0.1809,0.1287,0.1314,0.1287,0.2095,0.1314,0.1983,0.1243,543.56,273.7,355.75,84.615,85.2,85.2975,82.3275,83.4525,81.93,44.27,523.62,520.0,20.7312,516.38,487.85,12.9265
86.675,57.6,4.7391,57.5625,286.335,357.8212,570.8,2.6002,4.5825,173.7585,343.05,72.5783,710.08,19.4531,600.06,600.06,9.9887,66.2236,76.7778,2.6002,4.5825,11.1169,15.7189,9.1108,173.768,343.05,710.08,74.4864,33.165,45.48,9.603,4.39,12.341,45.45,25.1925,15.1313,0.1808,0.1287,0.1314,0.1287,0.2095,0.1314,0.1983,0.1243,543.56,273.7,355.75,84.6,85.1475,85.2675,82.32,83.4525,81.9225,44.2516,523.65,520.0,20.7306,516.41,487.88,12.9265
86.075,57.6,4.4953,57.6375,286.605,357.9245,571.35,2.6002,4.5825,173.7315,343.05,72.5782,710.08,19.4528,600.06,600.06,9.9886,66.2236,76.7775,2.6002,4.5825,11.1177,15.7189,9.1108,173.726,343.08,710.08,74.4564,33.16,45.54,9.601,4.381,12.341,45.48,25.242,15.1354,0.1807,0.1287,0.1313,0.1287,0.2095,0.1313,0.1982,0.1243,543.6,273.7,355.75,84.615,85.125,85.2975,82.2675,83.505,81.9975,44.2369,523.65,520.0,20.7301,516.47,487.94,12.9265
86.3,57.6,4.425,57.5625,286.335,357.8901,570.55,2.6002,4.5825,173.7315,343.08,72.5775,710.16,19.4526,600.06,600.06,9.9885,66.2235,76.7773,2.6002,4.5825,11.1161,15.7189,9.1108,173.726,343.08,710.16,74.4764,33.16,45.57,9.6,4.379,12.342,45.54,25.264,15.1313,0.1807,0.1287,0.1313,0.1286,0.2094,0.1313,0.1982,0.1243,543.6,273.7,355.75,84.5625,85.125,85.2975,82.26,83.5275,82.0125,44.2221,523.65,520.0,20.7295,516.5,487.97,12.9265
86.0,57.5625,4.4094,57.525,286.695,357.8212,570.65,2.6002,4.5825,173.7315,343.08,72.5772,710.16,19.4523,600.06,600.06,9.9877,66.2234,76.777,2.6002,4.5825,11.1159,15.7189,9.1113,173.726,343.08,710.16,74.4964,33.16,45.6,9.599,4.379,12.344,45.57,25.2805,15.1271,0.1807,0.1286,0.1313,0.1286,0.2094,0.1313,0.1982,0.1243,543.6,273.7,355.75,84.5325,85.1325,85.3425,82.2975,83.49,81.9975,44.2036,523.68,520.0,20.7289,516.53,488.0,12.9372
86.525,57.5625,3.8875,57.5625,287.01,357.5801,570.6,2.6002,4.5825,173.691,343.08,72.577,710.16,19.4521,600.06,600.12,9.9873,66.2233,76.7768,2.6002,4.5825,11.1157,15.7189,9.1113,173.684,343.08,710.16,74.5164,33.16,45.636,9.598,4.379,12.344,45.6,25.297,15.1229,0.1807,0.1286,0.1313,0.1286,0.2094,0.1313,0.1982,0.1242,543.64,273.7,355.75,84.585,85.1175,85.335,82.29,83.46,81.9825,44.1888,523.68,520.0,20.7284,516.56,488.0,12.9379
86.525,57.5625,4.6484,57.5625,287.01,357.5801,570.6,2.6002,4.5825,173.691,343.08,72.5767,710.16,19.4511,600.12,600.12,9.987,66.2232,76.7765,2.6002,4.5825,11.1156,15.7189,9.1113,173.684,343.08,710.16,74.4857,33.155,45.636,9.598,4.379,12.344,45.636,25.297,15.1274,0.1807,0.1286,0.1313,0.1286,0.2094,0.1313,0.1982,0.1242,543.64,273.7,355.75,84.585,85.1175,85.335,82.29,83.46,81.9825,44.1739,523.68,520.0,20.7278,516.56,488.0,12.9385
