DR1107.PV,WR1104.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TIC_1155.MV,FRCA1112.MV,LRCA1101.PV,FI1113.PV
287.0775,145.695,5000.04,186263,590.1025,86.375,20.3679,15.7324,33.0,2.5998
287.505,145.695,5000.04,186263,590.1025,86.875,20.3664,15.7324,33.0,2.6002
286.74,145.695,5000.04,186263,590.1025,86.525,20.365,15.7324,33.0,2.6004
287.055,145.695,5000.04,186263,590.1025,86.575,20.3635,15.7324,33.0,2.5998
287.3025,145.695,5000.04,186263,590.1025,86.95,20.3628,15.7324,33.0,2.5998
286.6275,145.695,5000.04,186263,590.1025,86.05,20.3628,15.7324,33.0,2.6004
286.8975,145.695,5000.04,186263,590.1025,86.475,20.3628,15.7324,33.0,2.6004
287.505,145.695,5000.04,186263,590.1025,86.75,20.3628,15.7324,33.0,2.6004
286.6275,145.695,5000.04,186263,590.1025,86.2,20.3628,15.7324,33.0,2.5998
287.1,145.695,5000.04,186263,590.1025,86.575,20.3628,15.7324,33.0,2.5998
287.1,145.695,5000.04,186263,590.1025,86.575,50.0,15.7324,33.0,2.5998
287.325,145.695,5000.04,186263,590.1025,86.925,50.0,15.7332,33.0,2.5998
286.6275,145.695,5000.04,186263,590.525,86.1,50.0,15.7327,33.0,2.5998
287.415,145.684,5000.04,186274,590.9475,86.475,50.0,15.7327,33.0,2.6006
286.5375,145.673,5000.04,186274,591.3375,86.075,50.0,15.7327,33.005,2.6008
287.415,145.662,5000.04,186274,591.7275,86.0,50.0,15.7327,33.005,2.6004
286.9875,145.64,5000.8999,186285,592.085,86.25,50.0,15.7327,33.015,2.5992
287.235,145.585,5000.8999,186296,592.41,86.8,50.0,15.7319,33.02,2.5984
286.8975,145.519,5000.04,186307,592.735,86.475,50.0,15.7317,33.045,2.5994
286.65,145.453,5000.04,186318,593.0275,86.925,50.0,15.7314,33.07,2.6002
286.83,145.398,5000.04,186318,593.3525,86.75,50.0,15.7312,33.105,2.6016
286.74,145.321,5000.04,186329,593.645,86.3,50.0,15.7309,33.135,2.6034
285.7275,145.255,5000.04,186340,593.9375,86.275,50.0,15.7307,33.165,2.6054
286.065,145.178,5000.04,186340,594.23,86.05,50.0,15.7304,33.195,2.606
285.39,145.101,5000.04,186351,594.555,86.1,50.0,15.7302,33.225,2.6082
285.5925,145.024,5000.04,186362,594.8475,86.625,50.0,15.7299,33.25,2.608
285.5025,144.936,5000.04,186362,595.14,86.6,50.0,15.7297,33.28,2.6076
285.39,144.859,5000.04,186373,595.465,86.5,50.0,15.7294,33.31,2.6084
285.5025,144.771,5000.04,186373,595.7575,86.675,50.0,15.7322,33.335,2.6084
285.525,144.683,5000.04,186384,596.0825,86.625,50.0,15.7329,33.365,2.606
285.2325,144.606,5000.04,186384,596.375,86.6,50.0,15.7337,33.395,2.6054
284.895,144.529,5000.04,186384,596.6675,86.425,50.0,15.7314,33.42,2.6036
284.8725,144.441,5000.04,186395,596.9925,86.25,50.0,15.7312,33.45,2.6026
284.445,144.375,5000.04,186395,597.285,86.075,50.0,15.7309,33.48,2.6006
284.58,144.298,5000.04,186395,597.5775,86.925,50.0,15.7307,33.51,2.599
283.725,144.232,5000.04,186395,597.87,86.85,50.0,15.7304,33.535,2.5974
284.49,144.166,5000.04,186395,598.1625,86.375,50.0,15.7302,33.565,2.5962
284.265,144.111,5000.04,186395,598.455,86.2,50.0,15.7299,33.78,2.5804
284.22,144.122,5006.9199,186835,598.715,86.975,50.0,15.7169,33.96,2.5728
283.635,143.979,5011.2197,187198,599.0075,86.575,50.0,15.7072,34.07,2.657
282.69,143.715,5014.6597,187517,599.3,86.625,50.0,15.6957,34.325,2.657
282.6,143.517,5016.3799,187891,599.6575,86.975,50.0,15.6929,34.53,2.7482
282.555,143.209,5018.1001,188243,600.015,86.825,50.0,15.6829,34.83,2.7482
282.555,143.209,5018.1001,188243,600.015,86.825,50.0,15.6754,34.83,2.7482
281.565,142.67,5019.8198,188903,600.8275,86.425,50.0,15.6709,35.45,2.7396
281.565,142.67,5019.8198,188903,600.8275,86.425,50.0,15.6644,35.45,2.6958
280.035,142.054,5018.1001,189497,601.64,86.825,50.0,15.6639,36.045,2.6958
279.63,141.801,5018.1001,189772,602.0625,86.65,50.0,15.6617,36.245,2.6794
279.63,141.801,5018.1001,189772,602.0625,86.65,50.0,15.6579,36.245,2.6794
278.865,141.427,5014.6597,189926,602.4525,86.275,50.0,15.6632,36.615,2.6588
277.785,141.196,5013.7998,190135,602.875,86.475,50.0,15.6624,36.69,2.661
277.7625,140.789,5012.0801,190300,603.265,86.8,50.0,15.6632,36.77,2.6552
275.5125,139.975,5008.6396,190531,604.0125,86.025,50.0,15.6659,36.92,2.6414
275.5125,139.975,5008.6396,190531,604.0125,86.025,50.0,15.6667,36.92,2.6414
274.41,139.15,5005.1997,190630,604.7275,86.775,50.0,15.6697,37.07,2.6238
274.41,139.15,5005.1997,190630,604.7275,86.775,50.0,15.6712,37.07,2.6238
273.33,138.743,5003.48,190652,605.4425,86.85,50.0,15.6764,37.145,2.6192
272.295,137.929,5001.7598,190619,605.8,86.15,50.0,15.6814,37.3,2.6186
271.485,137.533,5000.04,190575,606.1575,86.35,50.0,15.6812,37.38,2.6136
270.1575,137.126,4999.1797,190520,606.515,86.225,50.0,15.6857,37.455,2.6132
269.3925,136.719,4998.3198,190465,606.84,86.65,50.0,15.6872,37.53,2.6104
269.055,136.312,4997.46,190410,607.1975,86.05,50.0,15.6912,37.61,2.61
269.055,136.312,4997.46,190410,607.1975,86.05,50.0,15.6942,37.61,2.61
267.3,135.498,4996.6001,190300,607.88,86.7,50.0,15.6942,37.765,2.6062
265.905,135.102,4995.7397,190245,608.205,86.925,50.0,15.6977,37.84,2.606
265.14,134.695,4996.6001,190190,608.5625,86.9,50.0,15.7002,37.92,2.605
265.14,134.695,4996.6001,190190,608.5625,86.9,50.0,15.7027,37.92,2.605
264.8475,134.288,4995.7397,190146,608.8875,86.825,50.0,15.7059,38.0,2.6048
264.0825,133.881,4995.7397,190113,609.2125,86.925,50.0,15.7034,38.075,2.6038
262.5975,133.078,4995.7397,190036,609.895,86.5,50.0,15.7052,38.235,2.603
262.5975,133.078,4995.7397,190036,609.895,86.5,50.0,15.7064,38.235,2.603
261.0225,132.264,4996.6001,189981,610.545,86.3,50.0,15.7077,38.395,2.602
261.0225,132.264,4996.6001,189981,610.545,86.3,50.0,15.7089,38.395,2.602
259.7175,131.868,4997.46,189959,610.87,86.25,50.0,15.7072,38.475,2.6014
259.47,131.461,4997.46,189948,611.195,86.975,50.0,15.7074,38.555,2.6014
257.9625,131.054,4997.46,189926,611.52,86.275,50.0,15.7077,38.64,2.6012
257.31,130.658,4997.46,189915,611.845,86.65,50.0,15.7079,38.72,2.6012
255.8025,129.844,4997.46,189882,612.495,86.625,50.0,15.7082,38.885,2.6006
255.8025,129.844,4997.46,189882,612.495,86.625,50.0,15.7084,38.885,2.6006
255.0375,129.437,4997.46,189871,612.7875,86.725,50.0,15.7087,38.965,2.6006
253.3725,128.634,4998.3198,189838,613.4375,86.425,50.0,15.7089,39.135,2.6006
253.3725,128.634,4998.3198,189838,613.4375,86.425,50.0,15.7092,39.135,2.6006
251.865,127.831,4998.3198,189816,614.055,86.575,50.0,15.7094,39.3,2.5998
251.3475,127.424,4998.3198,189805,614.3475,86.425,50.0,15.7097,39.385,2.5998
251.3475,127.424,4998.3198,189805,614.3475,86.425,50.0,15.7099,39.385,2.5998
250.4925,127.017,4998.3198,189794,614.6725,86.225,50.0,15.7102,39.465,2.6004
249.5475,126.621,4998.3198,189783,614.965,86.0,50.0,15.7104,39.55,2.6002
248.985,126.214,4998.3198,189772,615.2575,86.275,50.0,15.7107,39.635,2.6002
247.7925,125.807,4998.3198,189761,615.5825,86.525,50.0,15.7117,39.72,2.6002
246.915,125.411,4997.46,189750,615.875,86.35,50.0,15.7092,39.805,2.5996
246.96,125.004,4997.46,189750,616.1675,86.55,50.0,15.7087,39.885,2.5996
245.97,124.608,4997.46,189739,616.46,86.45,50.0,15.7082,39.97,2.5996
244.035,123.794,4998.3198,189728,617.045,86.7,50.0,15.7107,40.14,2.6
243.4275,123.398,4998.3198,189728,617.3375,86.8,50.0,15.7112,40.225,2.6
243.4275,123.398,4998.3198,189728,617.3375,86.8,50.0,15.7117,40.225,2.6
241.4925,122.584,4998.3198,189728,617.9225,86.1,50.0,15.7092,40.395,2.5998
241.4925,122.584,4998.3198,189728,617.9225,86.1,50.0,15.7087,40.395,2.5998
240.435,121.781,4999.1797,189728,618.475,86.4,50.0,15.7112,40.56,2.5998
240.03,121.385,4999.1797,189728,618.7675,86.225,50.0,15.7117,40.645,2.5996
238.8375,120.978,4999.1797,189728,619.06,86.85,50.0,15.7092,40.73,2.5996
238.8375,120.978,4999.1797,189728,619.06,86.85,50.0,15.7087,40.73,2.5996
237.5325,120.175,4999.1797,189728,619.6125,86.85,50.0,15.7082,40.9,2.5996
236.655,119.768,5000.04,189728,619.8725,86.275,50.0,15.7107,40.985,2.5994
236.655,119.768,5000.04,189728,619.8725,86.275,50.0,15.7112,40.985,2.5994
234.8775,118.965,5000.04,189739,620.425,86.325,50.0,15.7087,41.155,2.6
233.82,118.569,5000.04,189739,620.685,86.475,50.0,15.7082,41.24,2.5998
233.82,118.569,5000.04,189739,620.685,86.475,50.0,15.7077,41.24,2.5998
233.6175,118.162,5000.04,189750,620.9775,86.05,50.0,15.7094,41.325,2.5998
232.5825,117.766,5000.04,189750,621.2375,86.45,50.0,15.7097,41.41,2.5998
231.255,117.359,5000.04,189761,621.4975,86.475,50.0,15.7099,41.495,2.5998
229.7025,116.556,4999.1797,189761,622.0175,86.55,50.0,15.7102,41.665,2.5996
229.7025,116.556,4999.1797,189761,622.0175,86.55,50.0,15.7104,41.665,2.5996
229.3425,116.149,4999.1797,189772,622.2775,86.5,50.0,15.7107,41.75,2.5996
228.1275,115.346,5000.04,189783,622.7975,86.675,50.0,15.7079,41.92,2.5994
227.385,114.95,5000.04,189794,623.0575,86.65,50.0,15.7072,42.01,2.5994
226.1925,114.543,5000.04,189805,623.3175,86.025,50.0,15.7064,42.095,2.5994
226.1925,114.543,5000.04,189805,623.3175,86.025,50.0,15.7057,42.095,2.5994
225.3825,114.147,5000.04,189816,623.5775,86.075,50.0,15.7079,42.18,2.5998
224.1,113.344,5000.04,189838,624.065,86.475,50.0,15.7074,42.35,2.5998
223.065,112.937,5000.04,189849,624.325,86.675,50.0,15.7074,42.435,2.5998
222.3225,112.541,5000.04,189860,624.5525,86.575,50.0,15.7074,42.52,2.5996
222.3225,112.541,5000.04,189860,624.5525,86.575,50.0,15.7074,42.52,2.5996
220.4325,111.738,5000.8999,189882,625.04,86.375,50.0,15.7074,42.69,2.5996
220.4325,111.738,5000.8999,189882,625.04,86.375,50.0,15.7074,42.69,2.5996
219.465,111.342,5000.8999,189904,625.3,86.375,50.0,15.7074,42.78,2.5996
218.0925,110.539,5000.04,189926,625.7875,86.65,50.0,15.7067,42.95,2.5994
217.44,110.132,5000.04,189948,626.015,86.525,50.0,15.7064,43.035,2.6
217.305,109.736,5000.04,189959,626.2425,86.45,50.0,15.7062,43.12,2.5998
217.305,109.736,5000.04,189959,626.2425,86.45,50.0,15.7059,43.12,2.5998
215.6625,109.329,5000.04,189992,626.47,86.425,50.0,15.7049,43.205,2.5994
215.145,108.933,5000.04,190014,626.73,86.325,50.0,15.7044,43.295,2.5992
214.0875,108.537,5000.8999,190036,626.9575,86.05,50.0,15.7039,43.38,2.5998
213.5025,108.13,5000.8999,190058,627.185,86.175,50.0,15.7057,43.465,2.5996
211.77,107.327,5000.8999,190113,627.64,86.7,50.0,15.7052,43.635,2.5996
211.77,107.327,5000.8999,190113,627.64,86.7,50.0,15.7052,43.635,2.5996
211.3425,106.931,5000.8999,190146,627.8675,86.275,70.0,15.7052,43.725,2.5996
210.285,106.535,5000.8999,190179,628.095,86.25,70.0,15.7022,43.81,2.5996
209.0475,105.732,5001.7598,190245,628.9725,86.675,70.0,15.7004,43.98,2.6
207.8775,105.314,5001.7598,190267,629.59,86.55,70.0,15.7014,44.07,2.6002
206.955,104.885,5001.7598,190300,630.1425,86.275,70.0,15.7009,44.16,2.6004
206.3025,104.467,5002.6201,190366,630.6625,86.0,70.0,15.6989,44.25,2.5998
206.3025,104.467,5002.6201,190366,630.6625,86.0,70.0,15.6979,44.25,2.5998
205.5375,103.928,5002.6201,190421,631.15,86.475,70.0,15.6969,44.345,2.5998
204.4125,103.378,5003.48,190465,631.605,86.475,70.0,15.6952,44.445,2.5996
201.9375,102.3,5002.6201,190553,632.385,86.625,70.0,15.6962,44.645,2.5998
200.925,101.761,5002.6201,190597,632.7425,86.425,70.0,15.6957,44.745,2.5996
199.755,101.222,5002.6201,190641,633.1,86.275,70.0,15.6952,44.845,2.5996
199.1925,100.683,5002.6201,190685,633.4575,86.325,70.0,15.6947,44.95,2.5994
198.27,100.155,5001.7598,190718,633.7825,86.25,70.0,15.6942,45.05,2.5994
196.83,99.616,5001.7598,190762,634.14,86.675,70.0,15.6929,45.155,2.5992
196.2,99.077,5001.7598,190795,634.4975,86.1,70.0,15.6952,45.255,2.5992
194.895,98.538,5001.7598,190839,634.855,86.25,70.0,15.6954,45.36,2.5996
194.895,98.538,5001.7598,190839,634.855,86.25,70.0,15.6957,45.36,2.5996
192.645,97.471,5002.6201,190839,635.6025,86.675,70.0,15.6928,45.36,2.5996
192.645,97.471,5002.6201,190916,635.6025,86.675,70.0,15.6918,45.565,2.5996
190.7325,96.393,5002.6201,190982,636.3175,86.825,70.0,15.6938,45.77,2.5996
189.3825,95.854,5002.6201,191026,636.675,86.55,70.0,15.6938,45.87,2.5996
188.7975,95.326,5001.7598,191059,637.0325,86.275,70.0,15.693,45.975,2.5996
187.425,94.787,5001.7598,191092,637.39,86.575,70.0,15.6928,46.075,2.5996
186.9075,94.248,5001.7598,191125,637.715,86.55,70.0,15.6925,46.18,2.5996
186.0075,93.709,5001.7598,191169,638.0725,86.125,70.0,15.6923,46.285,2.6
184.005,93.181,5001.7598,191202,638.3975,86.875,70.0,15.692,46.385,2.6
183.105,92.642,5002.6201,191235,638.7225,86.1,70.0,15.691,46.49,2.5994
182.07,92.103,5002.6201,191268,639.0475,86.025,70.0,15.6905,46.59,2.5994
182.07,92.103,5002.6201,191268,639.0475,86.025,70.0,15.6901,46.59,2.5994
179.7975,91.036,5001.7598,191345,639.6975,86.725,70.0,15.6896,46.795,2.5998
179.595,90.497,5001.7598,191378,639.99,86.725,70.0,15.6891,46.9,2.5998
178.695,89.969,5001.7598,191411,640.315,86.725,70.0,15.6908,47.005,2.5996
176.6925,89.43,5001.7598,191444,640.6075,86.35,70.0,15.6911,47.105,2.5996
176.4,88.891,5001.7598,191477,640.9,86.3,70.0,15.6913,47.21,2.5996
175.23,88.363,5001.7598,191521,641.225,86.75,70.0,15.6886,47.315,2.5996
173.565,87.824,5001.7598,191554,641.5175,86.425,70.0,15.6878,47.415,2.5996
172.8675,87.296,5002.6201,191587,641.81,86.125,70.0,15.6893,47.52,2.6
171.675,86.757,5002.6201,191620,642.1025,86.325,70.0,15.6893,47.62,2.6
171.0675,86.229,5001.7598,191664,642.3625,86.975,70.0,15.6893,47.725,2.6
169.92,85.69,5001.7598,191697,642.655,86.525,70.0,15.6886,47.83,2.6
169.92,85.69,5001.7598,191697,642.655,86.525,70.0,15.6883,47.83,2.6
168.9075,85.162,5001.7598,191730,642.9475,86.25,70.0,15.6881,47.93,2.6
167.8275,84.623,5001.7598,191763,643.2075,86.05,70.0,15.6878,48.035,2.5998
166.4325,84.095,5001.7598,191796,643.4675,86.25,70.0,15.6876,48.14,2.5998
165.4425,83.567,5001.7598,191840,643.76,86.725,70.0,15.6873,48.24,2.5998
163.5975,82.5,5001.7598,191906,644.28,86.575,70.0,15.6863,48.45,2.5998
