DR1106.PV,TI_1145.PV,TI1105A.PV,FRSA1101.PV,FRC1102.MV,FI1102.PV,FRC1102.PV,PDR1106.PV,TIC_1101.MV,FIC_1122.MV,FIC_1127.PV,TIA2872.PV,PI_1180.PV,WR1104.PV,FRC1424.PV,TIA2876.PV,FV1111.OUT,FIC_1122.PV,PDR1401.PV,PR1102A.PV,FRC1113.PV,PRCA1101B.MV,LRCA1101.PV,LRCA1101.MV,DR1108.PV,FRCA1111.MV,FIC_1127.MV,FV1112.OUT,DR1105.PV,FRC1113.MV,FT_1122.PV,FRCA1112.MV,FRQ1623.PV,DR1107.PV,FI_1127.PV,PDRSA1104.PV,FI1112.PV,PIC1101A.PV,FV1110.OUT,FI1113.PV,AR1410B.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,DR1103.PV,FRC1107.MV,PI_1132A.PV,FRCA1112.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,FRCA1110.MV,TI_1144.PV,DR1110.PV
57.6,489.26,536.56,174.132,10.2589,999.6,999.6,3.984,86.5944,72.9965,600,84.5475,0.2444,145.695,2.94,83.5725,28.1208,709.84,12.314,0.2332,2.5998,14.9033,33.005,65.4436,358.2,28.1208,19.8861,15.7338,4.0875,77.5426,709.84,15.7338,9.1091,286.875,600,-15.601,3000,14.903,11.1289,2.5998,86.375,10.86,516.84,81.945,21.7026,82.35,9.565,0.1656,57.6,66.8751,0.217,3000,85.275,85.1325,148.6687,11.1289,517.82,571.85
57.6,489.23,536.52,174.146,10.2591,999.6,999.6,3.983,86.611,72.9967,600,84.5775,0.2444,145.695,2.94,83.55,28.1208,709.84,12.311,0.2332,2.5998,14.9036,33,65.3936,358.2345,28.1208,19.8861,15.7338,4.15,77.5429,709.84,15.7338,9.1091,287.01,600,-15.6065,3000,14.9033,11.129,2.5998,86.3,10.86,516.81,81.93,21.7026,82.335,9.565,0.1656,57.6,66.8755,0.217,3000,85.2525,85.125,148.6687,11.129,517.82,571.45
57.6,489.23,536.48,174.16,10.2592,999.6,999.6,3.983,86.6276,72.997,600,84.63,0.2444,145.706,2.94,83.5575,28.1207,709.84,12.311,0.2331,2.5998,14.9038,32.995,65.343,358.0279,28.1207,19.8861,15.7338,4.6266,77.5431,709.84,15.7338,9.1091,287.1225,600,-15.612,3000,14.9036,11.129,2.5998,86.575,10.866,516.78,81.93,21.7025,82.3425,9.566,0.1656,57.6,66.8759,0.217,3000,85.305,85.0725,148.68,11.129,517.79,571.45
57.525,489.23,536.44,174.16,10.2594,999.6,999.6,3.984,86.6444,72.9972,600,84.6225,0.2444,145.706,2.94,83.5725,28.1207,709.84,12.31,0.2331,2.5998,14.9041,32.995,65.3423,358.0279,28.1207,19.8861,15.7338,4.4766,77.5434,709.84,15.7338,9.1096,287.2575,600,-15.6175,3000,14.9038,11.1291,2.5998,86.2,10.86,516.75,81.975,21.7024,82.335,9.566,0.1656,57.5625,66.8756,0.217,3000,85.35,85.095,148.68,11.1291,517.79,571.3
57.5625,489.2,536.44,174.16,10.2596,999.6,999.6,3.986,86.6575,72.9975,600,84.6075,0.2444,145.706,2.94,83.6175,28.1207,709.84,12.31,0.2331,2.5998,14.8958,32.99,65.2911,358.6133,28.1207,19.8861,15.7338,4.7859,77.5436,709.84,15.7338,9.1096,286.92,600,-15.6285,3000,14.9041,11.1292,2.5998,86.45,10.86,516.75,81.9375,21.7023,82.365,9.566,0.1657,57.6,66.8758,0.2171,3000,85.38,85.1025,148.68,11.1292,517.76,572.1
57.5625,489.2,536.4,174.16,10.2597,999.6,999.6,3.989,86.6744,72.9977,600,84.63,0.2444,145.706,2.94,83.595,28.1207,709.84,12.309,0.2331,2.5998,14.8958,32.985,65.2392,358.6133,28.1207,19.8861,15.7338,4.05,77.5439,709.84,15.7338,9.1096,287.3925,600,-15.6395,3000,14.8958,11.1293,2.5998,86.75,10.854,516.72,81.975,21.7023,82.335,9.567,0.1657,57.5625,66.8759,0.2171,3000,85.3875,85.0875,148.68,11.1293,517.76,571.9
57.6375,489.17,536.4,174.16,10.2599,999.6,999.6,3.991,86.6876,72.998,600,84.6075,0.2444,145.717,2.94,83.625,28.1207,709.84,12.309,0.2331,2.5998,14.8958,32.985,65.2374,358.4411,28.1207,19.8861,15.7338,4.4047,77.5442,709.84,15.7338,9.1096,286.7625,600,-15.6505,3000,14.8958,11.1293,2.5998,86.9,10.854,516.72,82.0275,21.7022,82.32,9.567,0.1657,57.525,66.8761,0.2171,3000,85.4025,85.11,148.6913,11.1293,517.73,571.85
57.5625,489.17,536.36,174.16,10.2601,999.6,999.6,3.992,86.7046,72.9982,600,84.57,0.2444,145.717,2.94,83.6325,28.1207,709.84,12.308,0.2331,2.5998,14.8958,32.98,65.1848,358.4067,28.1207,19.8861,15.7338,4.1234,77.5444,709.84,15.7338,9.1096,286.6275,600,-15.656,3000,14.8958,11.1294,2.5998,86.825,10.854,516.69,81.9825,21.7021,82.275,9.567,0.1657,57.5625,66.8763,0.2171,3000,85.3875,85.095,148.6913,11.1294,517.73,571.45
57.5625,489.14,536.36,174.16,10.2602,999.6,999.6,3.993,86.718,72.9985,600,84.5775,0.2444,145.717,2.94,83.6625,28.1207,709.84,12.307,0.2331,2.5998,14.8958,32.975,65.1317,358.6478,28.1207,19.8861,15.7338,4.0672,77.5447,709.84,15.7338,9.1096,287.235,600,-15.6615,3000,14.8958,11.1295,2.5998,86.975,10.854,516.69,81.9525,21.702,82.3125,9.568,0.1657,57.5625,66.8764,0.2171,3000,85.365,85.08,148.6913,11.1295,517.7,571.35
57.6,489.14,536.36,174.16,10.2604,999.6,999.6,3.994,86.7314,72.9987,600,84.54,0.2444,145.717,2.94,83.625,28.1207,709.84,12.306,0.2331,2.5998,14.8958,32.975,65.1286,357.7523,28.1207,19.8861,15.7338,4.2719,77.5449,709.84,15.7338,9.1096,286.92,600,-15.667,3000,14.8958,11.1296,2.5998,86.675,10.854,516.69,81.9975,21.702,82.275,9.568,0.1657,57.6,66.8766,0.2171,3000,85.32,85.05,148.6913,11.1296,517.7,571.25
57.5625,489.11,536.36,174.16,10.2598,1000.2,1000.2,3.995,86.7448,72.999,600,84.495,0.2444,145.728,2.94,83.64,28.1206,709.84,12.306,0.2331,2.5998,14.8958,32.97,65.0748,357.7868,28.1206,19.8861,15.7338,4.4781,77.5452,709.84,15.7338,9.1096,287.505,600,-15.667,3000,14.8958,11.1297,2.5998,86.475,10.86,516.69,81.9675,21.7019,82.2525,9.568,0.1657,57.6,66.8768,0.2172,3000,85.3125,85.035,148.6913,11.1297,517.7,571.3
57.5625,489.11,536.36,174.188,10.2597,1000.2,1000.2,3.996,86.7581,72.9992,600,84.495,0.2444,145.728,2.94,83.5875,28.1206,709.84,12.305,0.2331,2.5998,14.8872,32.97,65.0711,358.0623,28.1206,19.8861,15.7338,4.5766,77.5454,709.84,15.7338,9.1096,286.7625,600,-15.6725,3000,14.8958,11.1297,2.5998,86.85,10.866,516.69,81.945,21.7018,82.2075,9.568,0.1657,57.5625,66.8769,0.2172,3000,85.2825,85.02,148.7025,11.1297,517.67,572.05
57.5625,489.11,536.36,174.188,10.2596,1000.2,1000.2,3.998,86.7715,72.9995,600,84.495,0.2443,145.728,2.94,83.55,28.1206,709.84,12.305,0.2331,2.5998,14.8869,32.965,65.0167,358.51,28.1206,19.8861,15.7338,4.1734,77.5457,709.84,15.7338,9.1096,286.605,600,-15.678,3000,14.8872,11.1298,2.5998,86.675,10.872,516.69,81.915,21.7017,82.1925,9.568,0.1657,57.5625,66.8771,0.2172,3000,85.2675,85.0725,148.7025,11.1298,517.67,572.1
57.6375,489.08,536.36,174.188,10.2603,999.6,999.6,4.001,86.7811,72.9997,600,84.4725,0.2443,145.728,2.94,83.535,28.1206,709.84,12.304,0.2331,2.6002,14.8866,32.965,65.0123,358.4067,28.1206,19.8861,15.7338,3.9187,77.5444,709.84,15.7338,9.1102,287.415,600,-15.678,3000,14.8869,11.1299,2.6002,86.325,10.872,516.72,81.9375,21.7016,82.2225,9.568,0.1657,57.525,66.8773,0.2173,3000,85.2525,85.05,148.7025,11.1299,517.64,572.1
57.5625,489.08,536.4,174.188,10.2605,999.6,999.6,4.004,86.7944,73,600,84.48,0.2443,145.728,2.94,83.58,28.1206,709.84,12.303,0.2331,2.6002,14.8863,32.96,64.9573,358.0623,28.1206,19.8861,15.7338,4.4344,77.5442,709.84,15.7338,9.1102,286.74,600,-15.678,3000,14.8866,11.13,2.6002,86.7,10.878,516.72,81.9375,21.7016,82.275,9.568,0.1657,57.6,66.8774,0.2173,3000,85.2075,85.08,148.7025,11.13,517.64,571.8
57.6,489.05,536.4,174.188,10.2606,999.6,999.6,4.008,86.8039,73.0002,600,84.4725,0.2443,145.728,2.94,83.5425,28.1206,709.84,12.301,0.233,2.6002,14.8861,32.96,64.9523,358.1312,28.1206,19.8861,15.7338,4.6062,77.5439,709.84,15.7338,9.1102,287.55,600,-15.6725,3000,14.8863,11.1301,2.6002,86.975,10.884,516.75,81.915,21.7015,82.2375,9.568,0.1657,57.6,66.8776,0.2174,3000,85.2,85.1175,148.7025,11.1301,517.61,571.85
57.525,489.05,536.4,174.188,10.2601,1000.2,1000.2,4.012,86.8133,73.0005,600,84.525,0.2443,145.739,2.94,83.5725,28.1206,709.84,12.301,0.233,2.5998,14.8858,32.955,64.8967,358.5789,28.1206,19.8861,15.7338,4.7984,77.5452,709.84,15.7338,9.1096,287.19,600,-15.6725,3000,14.8861,11.1301,2.5998,86.675,10.89,516.78,81.9525,21.7014,82.2225,9.568,0.1657,57.525,66.8778,0.2174,3000,85.2375,85.1475,148.7137,11.1301,517.61,571.45
57.5625,489.02,536.44,174.188,10.26,1000.2,1000.2,4.015,86.8225,73.0007,600.06,84.4875,0.2443,145.739,2.94,83.5575,28.1206,709.84,12.3,0.233,2.5998,14.8855,32.955,64.8911,357.9245,28.1206,19.8854,15.7338,4.25,77.5454,709.84,15.7338,9.1096,287.37,600.06,-15.667,3000,14.8858,11.1302,2.5998,86.25,10.896,516.81,81.9225,21.7013,82.2375,9.568,0.1656,57.525,66.8779,0.2174,3000,85.245,85.11,148.7137,11.1302,517.58,571.75
57.5625,489.02,536.48,174.188,10.2599,1000.2,1000.2,4.019,86.8316,72.9997,600.06,84.4725,0.2443,145.739,2.94,83.5875,28.1206,710,12.3,0.233,2.5998,14.8852,32.955,64.8855,358.7166,28.1206,19.8851,15.7338,3.9594,77.5457,710,15.7338,9.1096,286.7625,600.06,-15.667,3000,14.8855,11.1265,2.5998,86.725,10.902,516.84,81.915,21.7013,82.23,9.568,0.1656,57.525,66.8781,0.2175,3000,85.2375,85.1175,148.7137,11.1265,517.58,572.1
57.6,489.02,536.48,174.188,10.2598,1000.2,1000.2,4.022,86.8406,72.9997,600.06,84.465,0.2443,145.739,2.94,83.58,28.1205,710,12.3,0.233,2.6004,14.8849,32.95,64.8292,358.2345,28.1205,19.8849,15.7338,4.0344,77.5437,710,15.7338,9.1102,287.325,600.06,-15.667,3000,14.8852,11.1254,2.6004,86.175,10.908,516.87,81.9225,21.7012,82.2525,9.568,0.1656,57.5625,66.8783,0.2175,3000,85.2825,85.0875,148.7137,11.1254,517.58,571.6
57.525,488.99,536.52,174.188,10.2605,999.6,999.6,4.025,86.8495,72.9997,600.06,84.465,0.2443,145.739,2.94,83.595,28.1205,710,12.299,0.233,2.6004,14.8847,32.95,64.823,358.0623,28.1205,19.8846,15.7338,4.3609,77.5432,710,15.7338,9.1102,286.875,600.06,-15.667,3000,14.8849,11.1242,2.6004,86.175,10.914,516.9,81.9675,21.7011,82.215,9.568,0.1656,57.6,66.8784,0.2176,3000,85.2375,85.065,148.7137,11.1242,517.55,572.05
57.5625,488.99,536.56,174.188,10.2606,999.6,999.6,4.029,86.8583,73.001,600.06,84.45,0.2442,145.739,2.94,83.61,28.1205,709.84,12.299,0.233,2.6004,14.8844,32.95,64.8167,358.2,28.1205,19.8844,15.7338,3.9969,77.5427,709.84,15.7338,9.1102,287.28,600.06,-15.667,3000,14.8847,11.1268,2.6004,86.125,10.926,516.93,82.005,21.701,82.245,9.567,0.1656,57.5625,66.8786,0.2176,3000,85.2525,85.065,148.7137,11.1268,517.55,572.15
57.5625,488.96,536.6,174.174,10.2608,999.6,999.6,4.032,86.867,73.0012,599.88,84.4275,0.2442,145.739,2.9425,83.5575,28.1205,709.84,12.299,0.233,2.5998,14.8841,32.95,64.8105,357.9934,28.1205,19.8864,15.7338,4.3516,77.5444,709.84,15.7338,9.1096,287.28,599.88,-15.6615,3000,14.8844,11.1269,2.5998,86.025,10.938,516.96,82.005,21.701,82.2825,9.567,0.1656,57.525,66.8788,0.2176,3000,85.245,85.0275,148.7137,11.1269,517.52,572.15
