FIC_1123.PV,PRCA1101B.PV,TIA1160A.PV,PI_1136.PV,TI_1143A.PV,TI1117B.PV,TI1118B.PV,TI1113.PV,TI1116A.PV,DR1110.PV,TIA1164.PV,TI1119A.PV,TRC1118A.PV,TI_1142.PV,TI_1153A.PV,TI_1149A.PV,FIC_1127.PV,TI1119D.PV,TI_1145.PV,TDRCA1117A.OUT,TI_1154A.PV,TI_1152A.PV,PDRSA1104.PV,PDR1103.PV,TRA1401B.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,TIA1161C.PV,PDI_1138.OUT,TI1115A.PV,TI1133.PV,TI1135.PV,TRCA1130.PV,TI1119B.PV,TI_1143B.PV,TI1112.PV,TIA1160C.PV,TI_1144.PV,PDRCA1109.PV,FRC1102.PV,PI_1182.PV,PI_1180.PV,TIA1160B.PV,TI1119C.PV,PRA1102.PV,PR1102B.PV,FRSA1101.PV,TIA1161B.PV,TI1132.PV,PR1401.PV,TI_1150A.PV,PI_1138B.PV,DR1108.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,TI1105B.PV,FRC1104.PV,PR1102A.PV,PIK1101B.OUT,PIK1101A.OUT,TI1116B.PV,PDR1106.PV,TIC_1155.PV,WRA1103.PV,PI_1132B.PV,TI_1143C.PV,TI1117A.PV,TIA1161A.PV,DR1107.PV,PI1110.PV,TI_1143D.PV,PDR1401.PV,TI1115B.PV,label
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.349976,571.849976,184.014999,685.599976,679.5,517.369995,590.005005,520.769958,599.880005,679.5,488.809998,3.350037,590.005005,590.005005,36.797497,9.403999,649.849976,540.679993,212.479996,661.299988,0.12052,661.299988,486.85498,0.11775,184.014999,4.529998,669.649963,340.699982,340.699982,212.479996,685.599976,517.390015,489.779999,184.014999,517.369995,55.104,999.599976,0.12048,0.1996,184.014999,679.5,0.11322,0.11718,169.819992,184.014999,262.350006,0.15,520.769958,0.11322,358.062286,520.769958,0.164525,520.769958,47.325001,345.209991,71.669998,145.672989,685.599976,541.679993,999.449951,0.18885,52.25555,52.25555,517.349976,3.976,590.005005,148.64624,0.1172,517.390015,676.149963,184.014999,286.762482,1.000125,517.390015,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.349976,571.25,184.014999,685.599976,679.5,517.369995,590.005005,520.709961,599.880005,679.5,488.809998,3.350037,590.005005,590.005005,36.792,9.405,649.849976,540.599976,212.479996,661.299988,0.12052,661.299988,486.85498,0.11775,184.014999,4.529998,669.649963,340.699982,340.699982,212.479996,685.599976,517.390015,489.779999,184.014999,517.369995,55.127998,999.599976,0.12048,0.1996,184.014999,679.5,0.11322,0.11718,169.819992,184.014999,262.299988,0.15,520.709961,0.11322,357.649017,520.709961,0.164575,520.709961,47.374992,345.209991,71.639999,145.672989,685.599976,541.599976,999.449951,0.18882,52.25555,52.25555,517.349976,3.98,590.005005,148.64624,0.1172,517.390015,676.149963,184.014999,286.762482,1.000125,517.390015,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.399963,571.75,184.014999,685.599976,679.5,517.399963,590.005005,520.649963,599.880005,679.5,488.809998,3.299988,590.005005,590.005005,36.792,9.406,649.849976,540.519958,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,184.014999,4.529998,669.649963,340.649994,340.649994,212.479996,685.599976,517.390015,489.779999,184.014999,517.399963,55.152,999.599976,0.12048,0.19952,184.014999,679.5,0.11322,0.11718,169.819992,184.014999,262.299988,0.15,520.649963,0.11322,357.993408,520.649963,0.164625,520.649963,47.424988,345.209991,71.610001,145.672989,685.599976,541.519958,999.449951,0.18879,52.25555,52.25555,517.399963,3.984,590.005005,148.64624,0.1172,517.390015,676.200012,184.014999,287.077484,1.0,517.390015,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.399963,571.849976,184.014999,685.599976,679.5,517.399963,590.005005,520.589966,599.880005,679.5,488.839996,3.299988,590.005005,590.005005,36.792,9.406,649.849976,540.440002,212.479996,661.299988,0.1205,661.299988,486.85498,0.11775,184.014999,4.549995,669.649963,340.600006,340.600006,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.169998,999.599976,0.12048,0.19952,184.014999,679.5,0.113205,0.11718,169.791992,184.014999,262.25,0.15,520.589966,0.1132,358.027863,520.589966,0.16465,520.589966,47.449989,345.209991,71.610001,145.68399,685.599976,541.440002,999.899963,0.18879,52.25555,52.25555,517.399963,3.988,590.005005,148.657501,0.1172,517.390015,676.200012,184.014999,286.852478,1.0,517.390015,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.399963,571.75,184.014999,685.599976,679.5,517.399963,590.005005,520.529968,599.880005,679.5,488.839996,3.299988,590.005005,590.005005,36.797497,9.407,649.849976,540.399963,212.479996,661.299988,0.1205,661.299988,486.85498,0.117725,184.014999,4.524998,669.649963,340.549988,340.549988,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.211998,999.599976,0.12048,0.19952,184.014999,679.5,0.113205,0.11718,169.806,184.014999,262.25,0.15,520.529968,0.1132,358.165619,520.529968,0.164675,520.529968,47.474995,345.209991,71.549995,145.68399,685.599976,541.399963,999.899963,0.18873,52.25555,52.25555,517.399963,3.991,590.005005,148.657501,0.1172,517.390015,676.200012,184.014999,286.717499,1.0,517.390015,12.299,672.899963,0
1783.439941,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.399963,571.799988,184.014999,685.599976,679.5,517.399963,590.005005,520.5,600.059998,679.5,488.839996,3.299988,590.005005,590.005005,36.808498,9.407,649.849976,540.359985,212.479996,661.299988,0.12048,661.299988,486.85498,0.117725,184.014999,4.545003,669.649963,340.549988,340.549988,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.241997,999.599976,0.12048,0.19944,184.014999,679.5,0.11319,0.11718,169.806,184.014999,262.199982,0.15,520.5,0.11318,357.649017,520.5,0.1647,520.5,47.520004,345.209991,71.520004,145.68399,685.599976,541.359985,999.899963,0.1887,52.25555,52.25555,517.399963,3.994,590.005005,148.657501,0.11718,517.390015,676.200012,184.014999,287.279999,1.0,517.390015,12.299,672.899963,0
1783.619995,0.15,184.014999,0.24396,517.390015,679.450012,681.25,487.845001,517.399963,571.149963,184.014999,685.599976,679.5,517.399963,590.005005,520.469971,600.059998,679.5,488.839996,3.299988,590.005005,590.005005,36.8195,9.406,649.849976,540.320007,212.479996,661.299988,0.12048,661.299988,486.85498,0.1177,184.014999,4.519999,669.649963,340.5,340.5,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.265999,999.599976,0.12048,0.19944,184.014999,679.5,0.113175,0.11718,169.778,184.014999,262.199982,0.15,520.469971,0.11318,357.92453,520.469971,0.16475,520.469971,47.569996,345.209991,71.490005,145.68399,685.599976,541.320007,999.899963,0.18867,52.25555,52.25555,517.399963,3.997,590.005005,148.657501,0.11718,517.390015,676.200012,184.014999,287.032501,1.0,517.390015,12.299,672.899963,0
1783.619995,0.15,184.014999,0.24394,517.390015,679.450012,681.25,487.845001,517.399963,571.099976,184.014999,685.599976,679.5,517.399963,590.005005,520.469971,600.059998,679.5,488.839996,3.299988,590.005005,590.005005,36.824997,9.406,649.849976,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,184.014999,4.519999,669.649963,340.449982,340.449982,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.284,999.599976,0.1204,0.19944,184.014999,679.5,0.113175,0.11718,169.763992,184.014999,262.149994,0.15,520.469971,0.11318,358.51001,520.469971,0.1648,520.469971,47.620007,345.209991,71.490005,145.68399,685.599976,541.279968,999.899963,0.18867,52.25555,52.25555,517.399963,4.001,590.005005,148.657501,0.11718,517.390015,676.200012,184.014999,287.482483,1.0,517.390015,12.299,672.899963,0
1783.619995,0.15,184.014999,0.24394,517.390015,679.450012,681.25,487.845001,517.399963,572.0,184.014999,685.599976,679.5,517.399963,590.005005,520.440002,599.940002,679.5,488.839996,3.299988,590.005005,590.005005,36.830498,9.406,649.849976,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,184.014999,4.539996,669.649963,340.449982,340.449982,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.295998,999.599976,0.1204,0.19936,184.014999,679.5,0.113175,0.11718,169.763992,184.014999,262.149994,0.15,520.440002,0.11316,357.958984,520.440002,0.16485,520.440002,47.669998,345.209991,71.459991,145.68399,685.599976,541.279968,999.899963,0.18864,52.25555,52.25555,517.399963,4.005,590.005005,148.657501,0.11718,517.390015,676.200012,184.014999,287.16748,1.0,517.390015,12.297999,672.899963,0
1783.619995,0.15,184.014999,0.24394,517.390015,679.450012,681.25,487.845001,517.399963,571.399963,184.014999,685.599976,679.5,517.399963,590.005005,520.440002,599.940002,679.5,488.839996,3.299988,590.005005,590.005005,36.830498,9.406,649.849976,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,184.014999,4.539996,669.649963,340.399994,340.399994,212.479996,685.599976,517.390015,489.824982,184.014999,517.399963,55.301998,999.599976,0.1204,0.19936,184.014999,679.5,0.113175,0.11718,169.735992,184.014999,262.100006,0.15,520.440002,0.11316,357.75235,520.440002,0.164875,520.440002,47.695004,345.209991,71.459991,145.68399,685.599976,541.23999,999.899963,0.18864,52.25555,52.25555,517.399963,4.009,590.005005,148.657501,0.11718,517.390015,676.200012,184.014999,286.537506,1.0,517.390015,12.297999,672.899963,0
