DR1107.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,AR1410B.PV,CCSFIC1401.PV,FRCA1112.PV,TIC_1155.PV,FI1112.PV,TI_1147.PV
286.875,148.6687,145.695,0.2081,86.125,186263,3000.0,590.1025,3000.0,686.075
287.1225,148.6687,145.695,0.2081,86.875,186263,3000.0,590.1025,3000.0,686.075
287.2125,148.6687,145.695,0.2081,86.1,186263,3000.0,590.1025,3000.0,686.075
287.325,148.6687,145.695,0.2081,86.45,186263,3000.0,590.1025,3000.0,686.075
286.7625,148.6687,145.695,0.2081,86.15,186263,3000.0,590.1025,3000.0,686.075
286.695,148.6687,145.695,0.2081,86.075,186263,3000.0,590.1025,3000.0,686.075
287.0775,148.6687,145.695,0.2081,86.225,186263,3000.0,590.1025,3000.0,686.075
287.0325,148.6687,145.695,0.2081,86.525,186263,3000.0,590.1025,3000.0,686.075
286.6725,148.6687,145.695,0.2081,86.475,186263,3000.0,590.1025,3000.0,686.075
287.145,148.6687,145.695,0.2081,86.3,186263,3000.0,590.1025,3000.0,686.075
286.875,148.6687,145.695,0.2081,86.15,186263,3000.0,590.1025,3000.0,686.075
286.7175,148.6687,145.695,0.2081,86.125,186263,3000.0,590.1025,3000.0,686.075
286.5825,148.6687,145.695,0.2081,86.625,186263,3000.0,590.1025,3000.0,686.075
286.83,148.6687,145.695,0.208,86.475,186263,3000.0,590.1025,3000.0,686.075
286.9425,148.6687,145.695,0.208,86.05,186263,3000.0,590.1025,3000.0,686.075
287.145,148.6687,145.695,0.208,86.725,186263,3000.0,590.1025,3000.0,686.075
287.0775,148.6687,145.695,0.208,86.375,186263,3000.0,590.1025,3000.0,686.075
287.505,148.6687,145.695,0.208,86.875,186263,3000.0,590.1025,3000.0,686.075
286.74,148.6687,145.695,0.208,86.525,186263,3000.0,590.1025,3000.0,686.075
287.055,148.6687,145.695,0.208,86.575,186263,3000.0,590.1025,3000.0,686.075
287.3025,148.6687,145.695,0.208,86.95,186263,3000.0,590.1025,3000.0,686.075
286.6275,148.6687,145.695,0.208,86.05,186263,3000.0,590.1025,3000.0,686.075
286.8975,148.6687,145.695,0.208,86.475,186263,3000.0,590.1025,3000.0,686.0375
287.505,148.6687,145.695,0.208,86.75,186263,3000.0,590.1025,3000.0,686.0375
286.6275,148.6687,145.695,0.208,86.2,186263,3000.0,590.1025,3000.0,686.0375
287.1,148.6687,145.695,0.208,86.575,186263,3000.0,590.1025,3000.0,686.0375
287.1,148.6687,145.695,0.208,86.575,186263,3000.0,590.1025,3000.0,686.0375
287.325,148.6687,145.695,0.208,86.925,186263,2999.75,590.1025,2999.75,686.0375
286.6275,148.6687,145.695,0.2081,86.1,186263,3000.0,590.525,3000.0,686.0375
287.415,148.6575,145.684,0.2077,86.475,186274,3000.0,590.9475,3000.0,686.0375
286.5375,148.6462,145.673,0.2075,86.075,186274,3000.0,591.3375,3000.0,686.0375
287.415,148.635,145.662,0.2078,86.0,186274,3000.0,591.7275,3000.0,686.0375
286.9875,148.6125,145.64,0.2086,86.25,186285,3000.0,592.085,3000.0,686.0375
287.235,148.5562,145.585,0.2086,86.8,186296,3000.25,592.41,3000.25,686.0375
286.8975,148.4887,145.519,0.2078,86.475,186307,3000.25,592.735,3000.25,686.0375
286.65,148.4212,145.453,0.2066,86.925,186318,3000.25,593.0275,3000.25,686.0375
286.83,148.365,145.398,0.205,86.75,186318,3000.25,593.3525,3000.25,686.0375
286.74,148.2862,145.321,0.2032,86.3,186329,3000.25,593.645,3000.25,686.0375
285.7275,148.2188,145.255,0.2014,86.275,186340,3000.25,593.9375,3000.25,686.0375
286.065,148.14,145.178,0.1996,86.05,186340,3000.25,594.23,3000.25,686.0375
285.39,148.0612,145.101,0.198,86.1,186351,3000.25,594.555,3000.25,686.0375
285.5925,147.9825,145.024,0.1965,86.625,186362,3000.25,594.8475,3000.25,686.0375
285.5025,147.9037,144.936,0.1954,86.6,186362,3000.25,595.14,3000.25,686.0375
285.39,147.8138,144.859,0.1949,86.5,186373,3000.25,595.465,3000.25,686.0375
285.5025,147.7237,144.771,0.1949,86.675,186373,2999.25,595.7575,2999.25,686.0375
285.525,147.645,144.683,0.1953,86.625,186384,2999.25,596.0825,2999.25,686.0375
285.2325,147.555,144.606,0.1961,86.6,186384,2999.25,596.375,2999.25,686.0375
284.895,147.4762,144.529,0.1973,86.425,186384,3000.25,596.6675,3000.25,686.0375
284.8725,147.3975,144.441,0.1987,86.25,186395,3000.25,596.9925,3000.25,686.0375
284.445,147.3187,144.375,0.2004,86.075,186395,3000.25,597.285,3000.25,686.0375
284.58,147.24,144.298,0.2021,86.925,186395,3000.25,597.5775,3000.25,686.0375
283.725,147.1725,144.232,0.2039,86.85,186395,3000.25,597.87,3000.25,686.0375
284.49,147.1162,144.166,0.2056,86.375,186395,3000.25,598.1625,3000.25,686.0375
284.265,147.0488,144.111,1.4086,86.2,186395,3000.25,598.455,3000.25,686.0375
284.22,147.06,144.122,1.4089,86.975,186835,3004.5,598.715,3004.5,686.0375
283.635,146.925,143.979,1.409,86.575,187198,3006.25,599.0075,3006.25,686.0
282.69,146.6438,143.715,1.4091,86.625,187517,3008.0,599.3,3008.0,685.9625
282.6,146.4413,143.517,1.4092,86.975,187891,3006.25,599.6575,3006.25,685.8875
282.555,146.1263,143.209,1.4093,86.825,188243,3007.5,600.015,3007.5,685.85
282.555,146.1263,143.209,1.4093,86.825,188243,3007.5,600.015,3007.5,685.85
281.565,145.575,142.67,1.4094,86.425,188903,3006.5,600.8275,3006.5,685.7375
281.565,144.9563,142.67,1.4094,86.425,188903,3006.5,600.8275,3006.5,685.7375
280.035,144.9563,142.054,1.4096,86.825,189497,3004.5,601.64,3004.5,685.625
279.63,144.6975,141.801,1.4097,86.65,189772,3003.75,602.0625,3003.75,685.5875
279.63,144.6975,141.801,1.4097,86.65,189772,3003.75,602.0625,3003.75,685.5875
278.865,144.315,141.427,1.4098,86.275,189926,3000.75,602.4525,3000.75,685.5125
277.785,144.0788,141.196,1.4099,86.475,190135,3000.75,602.875,3000.75,685.475
277.7625,143.6625,140.789,1.41,86.8,190300,3000.25,603.265,3000.25,685.4
275.5125,142.83,139.975,1.4102,86.025,190531,2999.25,604.0125,2999.25,685.2875
275.5125,142.83,139.975,1.4102,86.025,190531,2999.25,604.0125,2999.25,685.2875
274.41,141.9975,139.15,1.4103,86.775,190630,2998.5,604.7275,2998.5,685.175
274.41,141.9975,139.15,1.4103,86.775,190630,2998.5,604.7275,2998.5,685.175
273.33,141.165,138.743,1.4105,86.85,190652,2997.25,605.4425,2997.25,685.0625
272.295,140.7487,137.929,1.4106,86.15,190619,2996.5,605.8,2996.5,685.025
271.485,139.9162,137.533,1.4106,86.35,190575,2997.75,606.1575,2997.75,684.95
270.1575,139.9162,137.126,1.4107,86.225,190520,2997.0,606.515,2997.0,684.9125
269.3925,139.5112,136.719,1.4108,86.65,190465,2997.5,606.84,2997.5,684.8375
269.055,139.095,136.312,1.4109,86.05,190410,2997.0,607.1975,2997.0,684.8
269.055,139.095,136.312,1.4109,86.05,190410,2997.0,607.1975,2997.0,684.8
267.3,138.2737,135.498,1.411,86.7,190300,2998.0,607.88,2998.0,684.6875
265.905,137.8575,135.102,1.4111,86.925,190245,2997.5,608.205,2997.5,684.6125
265.14,137.4413,134.695,1.4112,86.9,190190,2997.5,608.5625,2997.5,684.575
