TIC_1155.MV,PI_1180.PV,PIC1101A.PV,PR1102A.PV,PDR1401.PV,LRCA1101.MV,PDR1103.PV,TI_1145.PV
20.3302,0.2128,15.1208,0.2015,12.416,86.202,9.597,499.25
20.3301,0.2128,15.1224,0.2016,12.415,86.232,9.597,499.34
20.33,0.2129,15.1241,0.2016,12.415,86.2614,9.598,499.46
20.33,0.2129,15.1172,0.2017,12.416,86.3408,9.598,499.58
20.3299,0.213,15.1186,0.2018,12.416,86.3695,9.599,499.7
20.3298,0.213,15.1199,0.2018,12.415,86.3977,9.6,499.82
20.3297,0.213,15.1213,0.2018,12.414,86.4758,9.601,499.94
20.3296,0.213,15.1227,0.2019,12.414,86.5033,9.602,500.03
20.3296,0.213,15.1241,0.2019,12.414,86.5302,9.602,500.15
20.3295,0.213,15.1255,0.2019,12.415,86.607,9.603,500.27
20.3294,0.213,15.1269,0.2018,12.414,86.6333,9.602,500.39
20.3293,0.213,15.1283,0.2018,12.414,86.6589,9.602,500.51
20.3293,0.213,15.1211,0.2018,12.415,86.6839,9.601,500.6
20.3292,0.2131,15.1222,0.2018,12.414,86.7589,9.6,500.72
20.3291,0.213,15.1233,0.2019,12.414,86.7833,9.6,500.84
20.329,0.2132,15.1244,0.2019,12.412,86.807,9.6,500.96
20.329,0.2132,15.1255,0.2019,12.412,86.8302,9.599,501.08
20.3289,0.2133,15.1266,0.202,12.412,86.9033,9.6,501.17
20.3288,0.2133,15.1277,0.2021,12.412,86.9258,9.601,501.29
20.3287,0.2134,15.1288,0.2021,12.412,86.9477,9.602,501.41
20.3287,0.2134,15.1213,0.2022,12.412,86.9689,9.603,501.53
20.3286,0.2134,15.1222,0.2023,12.411,86.9895,9.605,501.62
20.3285,0.2134,15.123,0.2023,12.411,87.0602,9.606,501.74
20.3284,0.2135,15.1238,0.2023,12.41,87.0801,9.607,501.86
20.3284,0.2136,15.1247,0.2023,12.409,87.0995,9.607,501.98
20.3283,0.2135,15.1255,0.2024,12.409,87.1183,9.608,502.07
20.3282,0.2137,15.1263,0.2024,12.409,87.1364,9.608,502.19
20.3281,0.2135,15.1272,0.2024,12.408,87.2045,9.608,502.31
20.328,0.2135,15.128,0.2024,12.409,87.222,9.609,502.4
20.328,0.2136,15.1202,0.2023,12.408,87.2389,9.608,502.52
20.3279,0.2135,15.1208,0.2023,12.408,87.2551,9.608,502.64
20.3278,0.2135,15.1213,0.2023,12.407,87.2708,9.607,502.76
20.3277,0.2135,15.1219,0.2023,12.406,87.3364,9.606,502.85
20.3277,0.2136,15.1224,0.2023,12.406,87.3514,9.605,502.97
20.3276,0.2136,15.123,0.2024,12.405,87.3658,9.604,503.09
20.3275,0.2136,15.1235,0.2024,12.405,87.3795,9.604,503.18
20.3274,0.2136,15.1241,0.2024,12.404,87.3926,9.605,503.3
20.3274,0.2136,15.1247,0.2024,12.404,87.4052,9.605,503.42
20.3273,0.2137,15.1166,0.2024,12.403,87.4677,9.605,503.51
20.3272,0.2136,15.1169,0.2025,12.403,87.4795,9.605,503.63
20.3271,0.2137,15.1172,0.2024,12.402,87.4908,9.606,503.75
20.3271,0.2137,15.1174,0.2024,12.401,87.5014,9.605,503.84
20.327,0.2136,15.1177,0.2024,12.401,87.5114,9.605,503.96
20.3269,0.2137,15.118,0.2024,12.4,87.5208,9.604,504.08
20.3268,0.2136,15.1183,0.2024,12.4,87.5801,9.603,504.17
20.3267,0.2137,15.1185,0.2024,12.399,87.5889,9.603,504.29
20.3267,0.2138,15.1188,0.2025,12.399,87.597,9.602,504.41
20.3266,0.2138,15.1191,0.2025,12.398,87.6045,9.602,504.5
20.3265,0.2138,15.1108,0.2025,12.398,87.6114,9.602,504.62
