DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
287.19,148.6687,145.695,5000.04,5000.04,186263,590.07,86.175,680.0,680.0
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.07,86.925,680.0,680.0
287.2575,148.6687,145.695,5000.04,5000.04,186263,590.07,86.45,680.0,680.0
287.28,148.6687,145.695,5000.04,5000.04,186263,590.07,86.7,680.0,680.0
287.1225,148.6687,145.695,4999.1797,4999.1797,186263,590.07,86.875,680.0,680.0
287.3025,148.6687,145.695,4999.1797,4999.1797,186263,590.07,86.95,680.0,680.0
287.3475,148.6687,145.695,4999.1797,4999.1797,186263,590.07,86.1,680.0,680.0
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.07,86.225,680.0,680.0
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.07,86.025,680.0,680.0
287.46,148.6687,145.695,5000.04,5000.04,186263,590.07,86.975,680.0,680.0
287.1225,148.6687,145.695,5000.04,5000.04,186263,590.07,86.2,680.0,680.0
287.0325,148.6687,145.695,5000.04,5000.04,186263,590.07,86.35,680.0,680.0
287.055,148.6687,145.695,5000.04,5000.04,186263,590.07,86.2,680.0,680.0
287.1675,148.6687,145.695,5000.04,5000.04,186263,590.07,86.5,680.0,680.0
286.8525,148.6687,145.695,5000.04,5000.04,186263,590.07,86.825,680.0,680.0
286.5375,148.6687,145.695,5000.04,5000.04,186263,590.07,86.125,680.0,680.0
286.6275,148.6687,145.695,5000.04,5000.04,186263,590.07,86.875,680.0,680.0
286.875,148.6687,145.695,5000.04,5000.04,186263,590.07,86.675,680.0,680.0
287.505,148.6687,145.695,5000.04,5000.04,186263,590.07,86.925,680.0,680.0
287.3025,148.6687,145.695,5000.04,5000.04,186263,590.07,86.1,680.0,680.0
287.1225,148.6687,145.695,5000.04,5000.04,186263,590.07,86.2,680.0,680.0
286.7625,148.6687,145.695,5000.04,5000.04,186263,590.07,86.075,680.0,680.0
286.74,148.6687,145.695,5000.04,5000.04,186263,590.07,86.775,680.0,680.0
287.0325,148.6687,145.695,5000.04,5000.04,186263,590.07,86.2,680.0,680.0
287.3475,148.6687,145.695,5000.04,5000.04,186263,590.07,86.675,680.0,680.0
286.695,148.6687,145.695,5000.04,5000.04,186263,590.07,86.225,680.0,680.0
286.9425,148.6687,145.695,5000.04,5000.04,186263,590.07,86.375,680.0,680.0
286.875,148.6687,145.695,5000.04,5000.04,186263,590.07,86.575,680.0,680.0
286.56,148.6687,145.695,5000.04,5000.04,186263,590.07,86.1,680.0,680.0
287.19,148.6687,145.695,5000.04,5000.04,186263,590.07,86.575,680.0,680.0
287.01,148.6687,145.695,5000.04,5000.04,186263,590.07,86.65,680.0,680.0
286.9875,148.6687,145.695,5000.04,5000.04,186263,590.07,86.575,680.0,680.0
286.56,148.6687,145.695,5000.04,5000.04,186263,590.07,86.925,680.0,680.0
287.01,148.6687,145.695,5000.04,5000.04,186263,590.07,86.4,680.0,680.0
286.92,148.6687,145.695,5000.04,5000.04,186263,590.07,86.975,680.0,680.0
286.74,148.6687,145.695,5000.04,5000.04,186263,590.07,86.375,680.0,680.0
287.46,148.6687,145.695,5000.04,5000.04,186263,590.07,86.725,680.0,680.0
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.07,86.1,680.0,680.0
286.83,148.6687,145.695,5000.04,5000.04,186263,590.07,86.45,680.0,680.0
287.4375,148.6687,145.695,5000.04,5000.04,186263,590.07,86.05,680.0,680.0
287.19,148.6687,145.695,5000.04,5000.04,186263,590.07,86.625,680.0,680.0
286.9875,148.6687,145.695,5000.04,5000.04,186263,590.07,86.2,680.0,680.0
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.07,86.75,680.0,680.0
287.19,148.6687,145.695,5000.04,5000.04,186263,590.07,86.4,680.0,680.0
286.74,148.6687,145.695,5000.04,5000.04,186263,590.07,86.45,680.0,680.0
287.37,148.6687,145.695,5000.04,5000.04,186263,590.07,86.35,680.0,680.0
286.5825,148.6687,145.695,5000.04,5000.04,186263,590.07,86.75,680.0,680.0
287.325,148.6687,145.695,5000.04,5000.04,186263,590.07,86.9,680.0,680.0
286.785,148.6687,145.695,5000.04,5000.04,186263,590.07,86.9,680.0,680.0
286.5375,148.6687,145.695,5000.04,5000.04,186263,590.07,86.925,680.0,680.0
287.145,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.525,680.0,680.0
286.7175,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.95,680.0,680.0
286.7175,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.3,680.0,680.0
286.83,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.725,680.0,680.0
287.4375,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.475,680.0,680.0
287.37,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.125,680.0,680.0
287.505,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.725,680.0,680.0
287.505,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.825,680.0,680.0
286.875,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.125,680.0,680.0
287.1225,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.875,680.0,680.0
287.2125,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.1,680.0,680.0
287.325,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.45,680.0,680.0
286.7625,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.15,680.0,680.0
286.695,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.075,680.0,680.0
287.0775,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.225,680.0,680.0
287.0325,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.525,680.0,680.0
286.6725,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.475,680.0,680.0
287.145,148.6687,145.695,5000.04,5000.04,186263,590.1025,86.3,680.0,680.0
