TI_1145.PV,PIC1101A.PV,PDR1401.PV,LRCA1101.MV,LRCA1101.PV,TI1105A.PV,TIC_1101.PV,PDR1103.PV
490.1,14.9402,12.324,74.7976,33.18,546.68,526.68,9.594
490.13,14.9408,12.324,74.8707,33.185,546.76,526.8,9.594
490.16,14.9413,12.324,74.8938,33.185,546.84,526.86,9.593
490.19,14.9419,12.326,74.9676,33.19,546.92,526.95,9.593
490.22,14.9424,12.326,74.9914,33.19,547.0,527.04,9.593
490.25,14.943,12.326,75.0657,33.195,547.12,527.13,9.594
490.28,14.9435,12.326,75.0901,33.195,547.2,527.16,9.594
490.31,14.9441,12.327,75.1651,33.2,547.24,527.28,9.595
490.34,14.9446,12.327,75.1901,33.2,547.36,527.34,9.595
490.37,14.9452,12.327,75.2657,33.205,547.44,527.4,9.595
490.4,14.9544,12.328,75.2914,33.205,547.48,527.4,9.596
490.43,14.9552,12.328,75.3676,33.21,547.52,527.43,9.596
490.46,14.956,12.329,75.3939,33.21,547.52,527.46,9.598
490.49,14.9483,12.33,75.4201,33.21,547.56,527.55,9.599
490.55,14.9488,12.331,75.497,33.215,547.64,527.61,9.601
490.58,14.9494,12.331,75.5239,33.215,547.72,527.67,9.602
490.61,14.9499,12.33,75.5508,33.215,547.76,527.7,9.603
490.64,14.9505,12.33,75.6282,33.22,547.8,527.73,9.603
490.67,14.9596,12.33,75.6557,33.22,547.84,527.79,9.604
490.7,14.9605,12.331,75.6832,33.22,547.88,527.85,9.604
490.73,14.9613,12.332,75.7107,33.22,547.96,527.91,9.604
490.76,14.9621,12.333,75.7889,33.225,548.0,527.97,9.604
490.79,14.9544,12.335,75.817,33.225,548.08,528.06,9.604
490.82,14.9549,12.335,75.8451,33.225,548.2,528.15,9.604
490.85,14.9555,12.335,75.8732,33.225,548.28,528.21,9.603
490.88,14.9646,12.333,75.952,33.23,548.36,528.33,9.602
490.91,14.9655,12.334,75.9807,33.23,548.48,528.39,9.6
490.97,14.9663,12.335,76.0095,33.23,548.52,528.48,9.598
491.0,14.9671,12.336,76.0382,33.23,548.6,528.54,9.597
491.03,14.968,12.337,76.1176,33.235,548.68,528.63,9.596
491.06,14.9688,12.337,76.147,33.235,548.76,528.69,9.594
491.09,14.961,12.338,76.1764,33.235,548.84,528.81,9.593
491.12,14.9616,12.338,76.2563,33.24,548.96,528.84,9.593
491.15,14.9708,12.338,76.2863,33.24,549.0,528.87,9.592
491.21,14.9716,12.337,76.3163,33.24,549.04,528.9,9.592
491.24,14.9724,12.337,76.397,33.245,549.08,528.93,9.593
491.27,14.9733,12.34,76.4276,33.245,549.08,528.96,9.594
491.3,14.9741,12.34,76.4582,33.245,549.12,529.02,9.596
491.33,14.9663,12.34,76.5395,33.25,549.16,529.02,9.598
491.36,14.9669,12.34,76.5707,33.25,549.16,529.02,9.599
491.42,14.9674,12.34,76.602,33.25,549.16,529.02,9.602
491.45,14.9766,12.339,76.6332,33.25,549.16,529.05,9.604
491.48,14.9774,12.34,76.6645,33.25,549.2,529.08,9.607
491.51,14.9783,12.34,76.6957,33.25,549.24,529.08,9.608
491.54,14.9791,12.342,76.727,33.25,549.24,529.14,9.61
491.57,14.9799,12.342,76.7582,33.25,549.28,529.14,9.611
491.6,14.9808,12.342,76.7895,33.25,549.32,529.2,9.608
491.66,14.9816,12.343,76.8207,33.25,549.36,529.26,9.606
491.69,14.9824,12.343,76.852,33.25,549.4,529.35,9.602
491.72,14.9746,12.344,76.8832,33.25,549.52,529.44,9.599
491.75,14.9752,12.344,76.9145,33.25,549.6,529.56,9.596
491.78,14.9757,12.344,76.9457,33.25,549.72,529.68,9.593
491.81,14.9849,12.342,77.0276,33.255,549.88,529.8,9.591
491.87,14.9858,12.344,77.0594,33.255,550.0,529.92,9.589
491.9,14.9866,12.344,77.0913,33.255,550.12,530.01,9.587
491.93,14.9874,12.345,77.1232,33.255,550.2,530.16,9.586
491.96,14.9883,12.346,77.1551,33.255,550.36,530.25,9.585
492.02,14.9891,12.346,77.2376,33.26,550.48,530.4,9.583
492.05,14.9813,12.346,77.2701,33.26,550.6,530.46,9.582
492.08,14.9819,12.346,77.3026,33.26,550.68,530.52,9.581
492.11,14.9824,12.346,77.3857,33.265,550.76,530.58,9.581
492.17,14.9916,12.345,77.4189,33.265,550.8,530.64,9.581
492.2,14.9924,12.346,77.452,33.265,550.88,530.7,9.582
492.23,14.9933,12.346,77.4851,33.265,550.92,530.76,9.584
492.29,14.9855,12.348,77.5689,33.27,551.0,530.79,9.586
492.32,14.986,12.348,77.6026,33.27,551.04,530.82,9.588
492.35,14.9871,12.348,77.6701,33.27,551.04,530.88,9.59
492.41,14.9877,12.347,77.7039,33.27,551.12,530.91,9.593
492.44,14.9877,12.347,77.7039,33.27,551.12,530.91,9.595
492.47,14.9882,12.347,77.7376,33.27,551.12,530.94,9.598
492.53,14.9974,12.348,77.7714,33.27,551.2,530.97,9.6
492.56,14.9983,12.348,77.8557,33.275,551.2,531.0,9.601
492.59,14.9991,12.348,77.8395,33.27,551.24,531.0,9.603
492.65,14.9913,12.35,77.8733,33.27,551.24,531.03,9.604
492.68,14.9919,12.35,77.907,33.27,551.28,531.09,9.605
492.71,14.9924,12.35,77.9408,33.27,551.32,531.12,9.606
492.74,14.993,12.349,77.9745,33.27,551.36,531.15,9.606
492.8,15.0021,12.35,78.0083,33.27,551.4,531.18,9.607
492.83,15.003,12.35,78.042,33.27,551.44,531.24,9.607
492.86,15.0038,12.35,78.0758,33.27,551.48,531.27,9.607
492.92,15.0046,12.352,78.1095,33.27,551.52,531.33,9.608
492.95,14.9969,12.353,78.1433,33.27,551.56,531.36,9.608
492.98,14.9974,12.353,78.177,33.27,551.6,531.54,9.608
493.01,14.998,12.353,78.2108,33.27,551.72,531.54,9.609
493.07,15.0071,12.352,78.2445,33.27,551.8,531.66,9.608
493.1,15.008,12.352,78.2783,33.27,551.92,532.05,9.608
493.13,15.0088,12.352,78.312,33.27,552.08,532.05,9.6
493.19,15.0096,12.354,78.3458,33.27,552.32,532.5,9.592
493.22,15.0019,12.354,78.3796,33.27,552.56,532.5,9.582
493.28,15.0024,12.354,78.4133,33.27,552.8,532.71,9.572
493.31,15.003,12.354,78.4471,33.27,553.04,532.92,9.563
493.34,15.0035,12.353,78.5314,33.275,553.24,533.34,9.555
493.4,15.0041,12.353,78.5658,33.275,553.44,533.34,9.549
493.46,15.0046,12.353,78.6508,33.28,553.68,533.76,9.545
493.49,15.0057,12.353,78.7714,33.285,553.92,533.88,9.541
493.55,15.0057,12.353,78.7714,33.285,554.12,533.88,9.539
493.58,15.0063,12.353,78.8577,33.29,554.24,534.03,9.538
