AR1410B.PV,DR1103.PV,DR1105.PV,DR1106.PV,DR1107.PV,DR1108.PV,DR1110.PV,FI1113.PV,FI1424.PV,FI1902.PV,FIC_1121.PV,FIC_1122.MV,FIC_1122.PV,FIC_1127.MV,FIC_1127.PV,FI_1127.PV,FRC1102.MV,FRC1107.MV,FRC1113.MV,FRC1113.PV,FRC1424.PV,FRCA1110.MV,FRCA1112.MV,FRQ1623.PV,FRSA1101.PV,FT_1121.PV,FT_1122.PV,LRCA1101.MV,LRCA1101.PV,PDI_1109.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1132B.PV,PI_1134.PV,PI_1138A.PV,PI_1180.PV,PI_1182.PV,PR1102A.PV,PRA1102.PV,TI1105A.PV,TI1132.PV,TI1133.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1101.SV,TIC_1155.MV,TI_1142.PV,TI_1145.PV,TRC1118A.MV
86.25,57.5625,4.0781,57.6,286.4925,357.959,571.8,2.6,4.6025,173.853,343.26,72.2737,710.24,19.4339,599.76,599.76,9.9753,66.2154,76.7629,2.6002,4.6075,11.1283,15.7343,9.1118,173.852,343.26,710.16,72.5471,33.025,46.902,9.52,4.353,12.302,46.902,26.617,14.8963,0.1793,0.1279,0.1303,0.1277,0.2083,0.1302,0.197,0.1235,541.4,275.75,358.55,84.6525,84.99,85.29,82.2225,83.595,81.96,42.7172,521.46,520.0,20.3449,517.58,488.99,13.2925
86.25,57.6,3.9594,57.6,286.6725,358.4067,571.05,2.5992,4.5925,174.042,343.2,72.274,710.16,19.4371,599.58,599.58,9.9758,66.2156,76.7634,2.6,4.6025,11.1284,15.7345,9.1102,174.048,343.2,710.0,72.6008,33.03,46.086,9.535,4.302,12.3,46.086,26.2705,14.8961,0.1789,0.1282,0.1307,0.1282,0.2091,0.1306,0.1979,0.124,541.24,275.75,358.55,84.645,85.0125,85.2675,82.2,83.61,82.0125,42.7414,521.22,520.0,20.3448,517.61,489.02,13.2925
86.25,57.6,3.9594,57.6,286.6725,358.4067,571.05,2.5992,4.5925,174.042,343.2,72.275,710.0,19.4389,599.58,599.58,9.9764,66.216,76.7664,2.5992,4.5925,11.1285,15.7348,9.1102,174.048,343.2,710.0,72.6046,33.03,46.086,9.535,4.302,12.3,46.086,26.2705,14.8958,0.1789,0.1282,0.1307,0.1282,0.2091,0.1306,0.1979,0.124,541.24,275.75,358.55,84.645,85.0125,85.2675,82.2,83.61,82.0125,42.7365,521.22,520.0,20.3447,517.61,489.02,13.2925
86.05,57.5625,4.7453,57.6,286.605,358.2,571.0,2.5988,4.585,173.8125,343.14,72.275,710.0,19.4436,599.34,599.34,9.9766,66.2159,76.7674,2.5992,4.5925,11.1254,15.735,9.1091,173.81,343.14,709.84,72.6083,33.03,45.48,9.545,4.266,12.3,45.48,26.0395,14.9041,0.1788,0.1285,0.131,0.1284,0.2098,0.131,0.1985,0.1242,541.08,275.75,358.55,84.675,84.9975,85.2225,82.1925,83.5575,82.0425,42.7578,521.01,520.0,20.3447,517.61,489.02,13.2925
86.55,57.525,4.25,57.6,287.235,357.6146,571.25,2.5986,4.575,173.4885,343.08,72.2762,709.84,19.4471,599.28,599.28,9.9775,66.2158,76.7699,2.5988,4.585,11.1274,15.7353,9.108,173.488,343.08,709.68,72.6121,33.03,44.862,9.559,4.231,12.3,44.862,25.759,14.9041,0.1786,0.1287,0.1313,0.1287,0.2103,0.1312,0.1991,0.1246,540.84,275.75,358.55,84.6975,84.99,85.275,82.2,83.55,82.05,42.7876,520.74,520.0,20.3446,517.61,489.02,13.2925
86.825,57.6,4.1766,57.6,286.92,358.6133,571.0,2.5982,4.5675,173.745,343.02,72.2777,709.68,19.4516,599.16,599.16,9.9779,66.2165,76.7721,2.5986,4.575,11.1274,15.7355,9.1069,173.754,343.02,709.52,72.6158,33.03,44.472,9.576,4.189,12.301,44.472,25.4345,14.9041,0.178,0.129,0.1315,0.129,0.2107,0.1315,0.1995,0.1248,540.56,275.75,358.55,84.7125,84.96,85.23,82.23,83.565,82.0425,42.8222,520.44,520.0,20.3445,517.61,489.05,13.2925
86.8,57.5625,3.8453,57.525,287.01,358.0967,571.15,2.5978,4.56,173.2725,342.99,72.2795,709.52,19.4551,599.16,599.16,9.9791,66.2174,76.7754,2.5982,4.5675,11.1306,15.7333,9.1063,173.278,342.99,709.6,72.5689,33.025,44.148,9.59,4.126,12.301,44.148,25.154,14.9041,0.1773,0.1291,0.1318,0.1292,0.211,0.1318,0.1998,0.1251,540.24,275.75,358.55,84.7125,84.975,85.275,82.185,83.5575,82.005,42.8579,520.14,520.0,20.3444,517.61,489.05,13.2925
86.975,57.5625,4.125,57.6,286.6725,358.4756,571.9,2.5978,4.5625,173.826,342.99,72.2796,709.6,19.4564,599.34,599.34,9.9798,66.2178,76.7791,2.5978,4.56,11.132,15.7325,9.1069,173.824,342.99,709.6,72.5215,33.02,44.676,9.604,4.053,12.301,44.676,24.9285,14.9041,0.176,0.129,0.1317,0.1292,0.2106,0.1317,0.1993,0.125,539.96,275.75,358.55,84.6675,84.945,85.26,82.185,83.52,81.9975,42.8875,519.9,520.0,20.3443,517.61,489.05,13.2925
86.95,57.525,4.8234,57.6375,287.0775,357.8212,571.4,2.599,4.565,173.6775,343.02,72.2802,709.6,19.4531,599.82,599.82,9.9804,66.2182,76.7819,2.5978,4.5625,11.1302,15.7318,9.108,173.67,343.02,709.68,72.4733,33.015,45.012,9.604,3.96,12.302,45.012,24.9835,14.9041,0.1752,0.1288,0.1316,0.1291,0.2102,0.1316,0.199,0.1249,539.72,275.75,358.55,84.6525,84.93,85.29,82.2225,83.4675,82.0275,42.9029,519.78,520.0,20.3443,517.61,489.05,13.2925
86.9,57.5625,4.1234,57.6,287.37,357.8212,571.05,2.5994,4.57,173.2725,343.05,72.2802,709.68,19.4531,599.88,599.88,9.9803,66.2187,76.7801,2.599,4.565,11.1303,15.731,9.1086,173.264,343.05,709.76,72.4246,33.01,45.276,9.603,3.902,12.302,45.276,25.1265,14.9041,0.1753,0.1287,0.1315,0.1289,0.2099,0.1314,0.1987,0.1247,539.56,275.75,358.55,84.69,84.915,85.32,82.275,83.4375,82.0575,42.9113,519.72,520.0,20.3442,517.61,489.05,13.2925
