LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.1014,32.985,9.584,4.17,12.303,46.236,25.7315,14.9041,0.1783,0.209,0.1978,539.56,84.615,85.1775,85.2675,82.185,83.6025,81.99,42.9467,519.84,20.3443,488.96
72.1501,32.99,9.582,4.195,12.303,46.236,25.7645,14.9041,0.1784,0.209,0.1978,539.6,84.63,85.1325,85.2525,82.155,83.6175,81.9825,42.9399,519.9,20.3442,488.96
72.1489,32.99,9.58,4.205,12.303,46.218,25.7755,14.9041,0.1785,0.209,0.1978,539.72,84.5925,85.125,85.215,82.1775,83.64,81.9825,42.9328,519.96,20.3441,488.96
72.1476,32.99,9.579,4.206,12.303,46.158,25.77,14.9041,0.1784,0.2091,0.1978,539.76,84.5775,85.14,85.2075,82.14,83.61,82.0275,42.9292,519.99,20.344,488.96
72.1464,32.99,9.579,4.204,12.303,46.068,25.759,14.9041,0.1784,0.2092,0.1979,539.76,84.6075,85.1475,85.1775,82.1325,83.565,81.99,42.9292,519.99,20.344,488.96
72.1451,32.99,9.58,4.201,12.302,45.948,25.7315,14.9041,0.1784,0.2093,0.198,539.76,84.6225,85.1325,85.1775,82.1475,83.565,81.975,42.9292,519.99,20.3439,488.96
72.1945,32.995,9.581,4.198,12.302,45.834,25.682,14.9041,0.1784,0.2093,0.1982,539.8,84.645,85.155,85.2075,82.14,83.5275,81.9825,42.9255,520.02,20.3438,488.96
72.1939,32.995,9.583,4.189,12.302,45.72,25.6215,14.9041,0.1783,0.2094,0.1983,539.8,84.675,85.1475,85.17,82.1925,83.52,82.0275,42.9217,520.05,20.3437,488.96
72.1933,32.995,9.586,4.177,12.302,45.642,25.5555,14.9041,0.1781,0.2095,0.1983,539.84,84.66,85.1475,85.1925,82.2225,83.5125,81.99,42.9253,520.02,20.3437,488.96
72.1926,32.995,9.588,4.161,12.302,45.516,25.5005,14.9041,0.178,0.2097,0.1985,539.8,84.6225,85.1325,85.1475,82.2225,83.4975,81.99,42.9327,519.96,20.3436,488.96
