TI_1145.PV,TI1105A.PV,PDR1106.PV,TIC_1101.MV,TIA2872.PV,PI_1180.PV,WR1104.PV,TIA2876.PV,PDR1401.PV,PR1102A.PV,LRCA1101.PV,LRCA1101.MV,PDRSA1104.PV,PIC1101A.PV,PDRCA1109.PV,TIC_1101.PV,TIA2877.PV,TIC_1155.MV,TIA2875.PV,PDR1103.PV,PI_1138B.PV,PI_1132A.PV,TIA2874.PV,TIA2873.PV,WRA1103.PV,TI_1144.PV
488.84,538.44,4.167,86.8038,84.5925,0.2437,145.728,83.46,12.293,0.2324,32.955,64.7349,-15.3315,14.8783,11.466,518.88,81.9825,21.6995,82.32,9.55,0.1653,0.2192,85.2675,85.1025,148.7025,517.4
488.84,538.64,4.182,86.7821,84.63,0.2436,145.728,83.43,12.292,0.2324,32.955,64.7292,-15.293,14.878,11.532,519.09,82.0125,21.6994,82.3575,9.549,0.1652,0.2193,85.23,85.08,148.7025,517.4
488.84,538.84,4.199,86.7594,84.66,0.2435,145.728,83.445,12.292,0.2323,32.96,64.7742,-15.249,14.8777,11.604,519.3,81.9675,21.6994,82.395,9.546,0.1652,0.2195,85.1925,85.08,148.7025,517.4
488.84,539.08,4.218,86.7322,84.6075,0.2435,145.717,83.4975,12.292,0.2322,32.965,64.8199,-15.205,14.8774,11.682,519.54,81.9375,21.6993,82.4025,9.544,0.1651,0.2197,85.215,85.0575,148.6913,517.4
488.84,539.32,4.238,86.7002,84.5775,0.2434,145.717,83.4975,12.292,0.2321,32.965,64.8155,-15.1555,14.8772,11.76,519.81,81.9675,21.6992,82.3575,9.541,0.1651,0.22,85.2525,85.035,148.6913,517.4
488.84,539.6,4.259,86.6672,84.5625,0.2434,145.717,83.475,12.292,0.2321,32.97,64.8617,-15.1005,14.8769,11.838,520.08,81.9675,21.6991,82.3125,9.539,0.165,0.2202,85.2225,85.05,148.6913,517.4
488.84,539.88,4.282,86.6331,84.5775,0.2433,145.706,83.4825,12.292,0.232,32.975,64.9086,-15.0455,14.8766,11.922,520.35,81.96,21.6991,82.335,9.536,0.165,0.2204,85.2075,85.0875,148.68,517.4
488.84,540.16,4.306,86.5941,84.5625,0.2432,145.706,83.445,12.292,0.2319,32.98,64.9561,-14.9905,14.8763,12.006,520.65,81.9825,21.699,82.2975,9.533,0.1649,0.2207,85.2,85.1325,148.68,517.43
488.87,540.48,4.33,86.5501,84.555,0.2431,145.695,83.46,12.292,0.2318,32.985,65.0043,-14.93,14.8761,12.084,520.98,81.99,21.6989,82.3425,9.53,0.1648,0.221,85.17,85.14,148.6687,517.43
488.87,540.8,4.354,86.5086,84.525,0.243,145.695,83.46,12.292,0.2317,32.99,65.053,-14.875,14.8758,12.162,521.28,82.02,21.6988,82.3125,9.527,0.1648,0.2212,85.1475,85.14,148.6687,517.43
488.87,541.12,4.38,86.4621,84.51,0.243,145.684,83.43,12.292,0.2317,32.995,65.1024,-14.8145,14.8755,12.24,521.61,82.0575,21.6987,82.2825,9.523,0.1647,0.2215,85.14,85.1325,148.6575,517.46
488.9,541.48,4.405,86.4142,84.5325,0.2429,145.684,83.4,12.293,0.2316,33,65.1524,-14.754,14.8752,12.312,521.94,82.0275,21.6987,82.2375,9.52,0.1647,0.2218,85.1175,85.17,148.6575,517.46
488.9,541.8,4.429,86.3651,84.4875,0.2428,145.673,83.3775,12.293,0.2315,33.005,65.203,-14.6935,14.8749,12.384,522.27,81.99,21.6986,82.1925,9.517,0.1646,0.222,85.17,85.1925,148.6462,517.49
488.93,542.16,4.454,86.3183,84.525,0.2427,145.662,83.415,12.293,0.2315,33.01,65.2542,-14.6385,14.8747,12.444,522.57,82.035,21.6985,82.1925,9.514,0.1646,0.2223,85.23,85.2,148.635,517.49
488.93,542.48,4.477,86.2666,84.5775,0.2427,145.662,83.4,12.293,0.2314,33.02,65.3568,-14.5835,14.8744,12.492,522.9,81.99,21.6984,82.2,9.511,0.1645,0.2225,85.23,85.1475,148.635,517.52
488.96,542.8,4.5,86.2173,84.5925,0.2426,145.651,83.4525,12.292,0.2314,33.025,65.4099,-14.5285,14.8741,12.534,523.2,81.9525,21.6984,82.17,9.508,0.1645,0.2227,85.1925,85.1775,148.6237,517.55
488.96,543.12,4.521,86.1705,84.54,0.2426,145.64,83.4525,12.293,0.2314,33.035,65.5143,-14.4845,14.8825,12.57,523.47,81.9225,21.6983,82.1625,9.505,0.1644,0.223,85.155,85.1625,148.6125,517.55
488.99,543.4,4.541,86.1227,84.5475,0.2426,145.64,83.43,12.293,0.2313,33.04,65.5693,-14.4405,14.8825,12.582,523.74,81.9375,21.6982,82.14,9.503,0.1644,0.2232,85.125,85.1325,148.6125,517.58
489.02,543.68,4.559,86.0813,84.5925,0.2426,145.629,83.4525,12.294,0.2314,33.045,65.6249,-14.4075,14.8825,12.582,523.95,81.9375,21.6981,82.1325,9.501,0.1644,0.2234,85.1475,85.14,148.6012,517.61
489.05,543.92,4.575,86.039,84.555,0.2426,145.629,83.4825,12.296,0.2314,33.055,65.7318,-14.391,14.8825,12.564,524.16,81.99,21.6981,82.125,9.499,0.1644,0.2235,85.2075,85.1325,148.6012,517.64
489.08,544.12,4.588,86.0034,84.54,0.2427,145.618,83.475,12.296,0.2314,33.06,65.7892,-14.38,14.8825,12.534,524.31,81.96,21.698,82.17,9.498,0.1644,0.2237,85.26,85.1625,148.59,517.67
489.08,544.28,4.598,85.971,84.585,0.2427,145.607,83.4675,12.297,0.2315,33.07,65.898,-14.38,14.8825,12.48,524.43,82.005,21.6979,82.23,9.497,0.1644,0.2238,85.29,85.2,148.5788,517.7
489.11,544.4,4.605,85.9456,84.54,0.2428,145.607,83.46,12.297,0.2316,33.075,65.9574,-14.391,14.8825,12.402,524.49,82.0125,21.6978,82.275,9.497,0.1644,0.2238,85.3275,85.1625,148.5788,517.73
489.14,544.44,4.608,85.9274,84.555,0.243,145.596,83.46,12.298,0.2317,33.085,66.068,-14.4075,14.8825,12.306,524.49,82.02,21.6978,82.245,9.498,0.1645,0.2238,85.29,85.1475,148.5675,517.76
489.17,544.48,4.606,85.9168,84.5775,0.243,145.596,83.4675,12.298,0.2318,33.09,66.1293,-14.4405,14.8911,12.192,524.43,82.005,21.6977,82.215,9.499,0.1645,0.2238,85.29,85.17,148.5675,517.79
489.2,544.4,4.599,85.9139,84.5925,0.2432,145.596,83.43,12.299,0.232,33.095,66.1911,-14.4845,14.8913,12.054,524.31,81.9525,21.6976,82.26,9.501,0.1646,0.2237,85.2825,85.125,148.5675,517.82
489.23,544.28,4.585,85.9191,84.6075,0.2434,145.596,83.4225,12.3,0.2321,33.1,66.2536,-14.545,14.8916,11.892,524.13,81.945,21.6975,82.2525,9.504,0.1647,0.2235,85.26,85.125,148.5675,517.85
