LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1101.SV,TI_1145.PV
72.2514,32.995,9.593,4.045,12.303,45.786,25.4675,14.9055,0.1771,0.2093,0.1981,539.64,84.585,85.035,85.3725,82.2975,83.55,81.9225,42.9562,519.84,20.3471,520,488.99
72.2508,32.995,9.59,4.086,12.303,45.888,25.561,14.9055,0.1776,0.2091,0.198,539.68,84.6375,85.065,85.3725,82.32,83.5275,81.9075,42.9531,519.87,20.347,520,488.99
72.2502,32.995,9.586,4.128,12.303,46.014,25.6325,14.9055,0.1779,0.209,0.1979,539.72,84.675,85.1025,85.3275,82.305,83.4825,81.9075,42.9461,519.93,20.3469,520,488.99
72.2496,32.995,9.583,4.156,12.304,46.134,25.6985,14.9055,0.178,0.209,0.1978,539.8,84.63,85.1475,85.2975,82.26,83.475,81.9,42.9388,519.99,20.3469,520,488.99
72.2489,32.995,9.58,4.17,12.304,46.242,25.759,14.9055,0.178,0.2089,0.1977,539.88,84.645,85.1775,85.26,82.2375,83.46,81.915,42.9276,520.08,20.3468,520,488.99
72.2483,32.995,9.577,4.178,12.304,46.314,25.8085,14.9055,0.1781,0.2089,0.1976,539.92,84.66,85.1775,85.29,82.275,83.46,81.93,42.9198,520.14,20.3467,520,488.99
72.2477,32.995,9.575,4.187,12.304,46.344,25.8415,14.9055,0.1782,0.209,0.1977,540,84.675,85.215,85.2675,82.2825,83.415,81.9675,42.9154,520.17,20.3466,520,488.99
72.2471,32.995,9.574,4.197,12.304,46.326,25.847,14.9055,0.1784,0.209,0.1978,539.96,84.6975,85.23,85.305,82.335,83.4525,82.005,42.9148,520.17,20.3466,520,488.99
72.2464,32.995,9.574,4.207,12.304,46.236,25.8305,14.9055,0.1785,0.209,0.1978,540,84.6525,85.2225,85.3275,82.3425,83.415,81.9975,42.9103,520.2,20.3465,520,488.99
72.2964,33,9.575,4.209,12.304,46.164,25.792,14.9055,0.1784,0.2091,0.1979,540.04,84.5925,85.215,85.3125,82.305,83.3775,81.9825,42.9058,520.23,20.3464,520,488.99
72.2964,33,9.576,4.202,12.304,46.074,25.7535,14.9055,0.1784,0.2092,0.198,540.04,84.5625,85.1775,85.3275,82.29,83.4,81.9675,42.9048,520.23,20.3463,520,488.99
72.2964,33,9.578,4.192,12.304,45.978,25.704,14.9055,0.1783,0.2094,0.1982,540.04,84.5925,85.1475,85.305,82.2675,83.3925,82.0125,42.9039,520.23,20.3463,520,488.99
72.2964,33,9.581,4.183,12.304,45.822,25.6325,14.9055,0.1783,0.2096,0.1984,540,84.555,85.1625,85.3125,82.2525,83.4075,81.9825,42.9067,520.2,20.3462,520,488.99
72.2964,33,9.585,4.176,12.304,45.618,25.539,14.9055,0.1782,0.2098,0.1986,539.96,84.57,85.185,85.3275,82.215,83.4,82.0275,42.9134,520.14,20.3461,520,488.99
72.2964,33,9.59,4.165,12.304,45.408,25.4345,14.9055,0.1782,0.2101,0.1988,539.84,84.5775,85.1775,85.3275,82.185,83.4225,82.05,42.9241,520.05,20.346,520,488.99
72.2964,33,9.596,4.15,12.304,45.156,25.3135,14.9055,0.178,0.2103,0.1991,539.72,84.6,85.125,85.32,82.155,83.43,82.035,42.939,519.93,20.3459,520,488.99
72.2964,33,9.603,4.129,12.304,44.91,25.176,14.9055,0.1778,0.2104,0.1993,539.6,84.555,85.08,85.3275,82.2075,83.415,81.99,42.9543,519.81,20.3459,520,488.99
72.2964,33,9.609,4.102,12.304,44.742,25.0605,14.9055,0.177,0.21,0.1987,539.48,84.555,85.065,85.32,82.2225,83.445,81.96,42.9701,519.69,20.3458,520,488.99
72.2458,32.995,9.605,4.047,12.304,45.3,25.176,14.9055,0.1764,0.2096,0.1984,539.36,84.57,85.0875,85.3275,82.2675,83.46,81.915,42.9826,519.6,20.3457,520,488.99
72.1945,32.99,9.601,4.014,12.304,45.606,25.3355,14.9055,0.1765,0.2094,0.1981,539.4,84.5625,85.065,85.2975,82.23,83.43,81.8775,42.9842,519.6,20.3456,520,488.99
72.1933,32.99,9.594,4.032,12.304,45.876,25.484,14.9055,0.1771,0.2094,0.1981,539.4,84.54,85.0275,85.3425,82.2375,83.4825,81.9,42.9821,519.63,20.3456,520,488.96
72.192,32.99,9.591,4.087,12.304,45.948,25.583,14.9055,0.1778,0.2092,0.198,539.4,84.555,84.9975,85.35,82.2375,83.4375,81.93,42.9836,519.63,20.3455,520,488.96
72.1908,32.99,9.588,4.145,12.304,46.002,25.638,14.9055,0.1782,0.2092,0.1979,539.48,84.5325,85.0425,85.305,82.2,83.4075,81.9375,42.9738,519.72,20.3454,520,488.96
72.1895,32.99,9.585,4.179,12.304,46.08,25.671,14.9055,0.1784,0.2091,0.1979,539.52,84.5775,85.02,85.335,82.2225,83.4525,81.99,42.9712,519.75,20.3453,520,488.96
72.1883,32.99,9.584,4.192,12.304,46.092,25.6985,14.9055,0.1784,0.2091,0.1979,539.6,84.5475,85.08,85.3275,82.2375,83.4675,81.975,42.9647,519.81,20.3453,520,488.96
72.187,32.99,9.583,4.195,12.304,46.098,25.6985,14.9055,0.1784,0.2092,0.1979,539.64,84.5175,85.0275,85.32,82.23,83.4825,81.9525,42.9579,519.87,20.3452,520,488.96
72.1858,32.99,9.583,4.193,12.304,46.062,25.693,14.9055,0.1784,0.2091,0.198,539.68,84.5025,85.065,85.365,82.2225,83.4975,81.93,42.9547,519.9,20.3451,520,488.96
72.1845,32.99,9.583,4.191,12.304,46.008,25.671,14.9055,0.1783,0.2092,0.198,539.76,84.495,85.0875,85.41,82.2375,83.475,81.9075,42.9438,519.99,20.345,520,488.96
72.2339,32.995,9.583,4.185,12.304,45.984,25.6435,14.9055,0.1783,0.2093,0.1981,539.8,84.555,85.05,85.4325,82.2525,83.445,81.9075,42.9439,519.99,20.345,520,488.96
72.2333,32.995,9.584,4.18,12.304,45.93,25.627,14.9055,0.1782,0.2093,0.1981,539.8,84.5925,85.0575,85.4625,82.245,83.4375,81.9525,42.9401,520.02,20.3449,520,488.96
72.2327,32.995,9.585,4.176,12.303,45.864,25.5995,14.9055,0.1782,0.2094,0.1982,539.84,84.5475,85.035,85.4925,82.2375,83.415,81.9075,42.9363,520.05,20.3448,520,488.96
72.232,32.995,9.586,4.17,12.303,45.822,25.572,14.9055,0.1782,0.2096,0.1983,539.8,84.5925,85.005,85.4925,82.2225,83.4675,81.9,42.9399,520.02,20.3447,520,488.96
72.2314,32.995,9.589,4.167,12.303,45.666,25.517,14.9055,0.1783,0.2098,0.1986,539.76,84.585,85.05,85.4775,82.2525,83.4675,81.93,42.9473,519.96,20.3447,520,488.96
72.2308,32.995,9.593,4.167,12.303,45.426,25.4235,14.9055,0.1784,0.2101,0.1988,539.68,84.5475,85.02,85.44,82.2675,83.4975,81.8925,42.955,519.9,20.3446,520,488.96
72.2302,32.995,9.598,4.162,12.303,45.174,25.3025,14.9055,0.1782,0.2102,0.1991,539.6,84.555,85.0275,85.3875,82.23,83.46,81.945,42.9704,519.78,20.3445,520,488.96
72.2295,32.995,9.605,4.145,12.303,44.928,25.1705,14.9055,0.1772,0.2094,0.1982,539.52,84.5475,84.99,85.335,82.245,83.4525,81.9525,42.975,519.75,20.3444,520,488.96
72.1783,32.99,9.595,4.077,12.303,45.846,25.385,14.9055,0.1763,0.2088,0.1976,539.52,84.585,84.9675,85.335,82.245,83.445,81.945,42.9761,519.75,20.3443,520,488.96
72.177,32.99,9.585,4.029,12.303,46.368,25.6655,14.9055,0.1763,0.2083,0.1972,539.64,84.6225,84.96,85.3275,82.2,83.4375,81.99,42.9658,519.84,20.3443,520,488.96
72.1758,32.99,9.573,4.053,12.303,46.842,25.9405,14.9055,0.1769,0.208,0.1967,539.8,84.6075,84.945,85.35,82.185,83.445,82.035,42.9477,519.99,20.3442,520,488.96
72.1745,32.99,9.561,4.123,12.303,47.256,26.188,14.9055,0.1777,0.2076,0.1964,539.96,84.6,84.9525,85.32,82.2,83.475,81.9975,42.9289,520.14,20.3441,520,488.96
72.1733,32.99,9.551,4.2,12.303,47.55,26.4025,14.9055,0.1784,0.2074,0.1962,540.16,84.63,84.9375,85.3125,82.185,83.505,81.9525,42.8983,520.38,20.344,520,488.96
72.172,32.99,9.541,4.261,12.303,47.79,26.5565,14.9055,0.1788,0.2073,0.1961,540.4,84.5925,84.9675,85.3575,82.2225,83.4675,81.9825,42.8704,520.59,20.344,520,488.96
72.2214,32.995,9.533,4.304,12.303,47.934,26.672,14.9055,0.1791,0.2072,0.196,540.6,84.57,84.945,85.365,82.2525,83.49,81.9975,42.8418,520.8,20.3439,520,488.96
72.2714,33,9.527,4.334,12.303,47.976,26.7435,14.9055,0.1793,0.2072,0.196,540.84,84.5325,85.005,85.3275,82.2375,83.4675,81.99,42.816,520.98,20.3438,520,488.96
72.3221,33.005,9.523,4.352,12.302,47.964,26.7875,14.9055,0.1794,0.2072,0.1961,541.04,84.57,85.065,85.29,82.2075,83.5125,81.9825,42.7857,521.19,20.3437,520,488.96
72.3227,33.005,9.519,4.36,12.302,47.922,26.804,14.9055,0.1794,0.2074,0.1961,541.2,84.585,85.11,85.26,82.185,83.535,81.9825,42.7584,521.37,20.3437,520,488.96
72.3739,33.01,9.518,4.36,12.302,47.838,26.793,14.8969,0.1794,0.2075,0.1963,541.28,84.6075,85.14,85.2525,82.1925,83.5425,81.96,42.7453,521.43,20.3436,520,488.99
72.4258,33.015,9.518,4.359,12.302,47.64,26.7435,14.8966,0.1794,0.2078,0.1965,541.36,84.6075,85.1175,85.2075,82.17,83.55,81.9975,42.7283,521.52,20.3435,520,488.99
72.4783,33.02,9.52,4.35,12.302,47.43,26.6555,14.8963,0.1793,0.208,0.1968,541.36,84.6075,85.0875,85.1925,82.155,83.5875,82.005,42.7221,521.52,20.3434,520,488.99
72.4808,33.02,9.524,4.335,12.302,47.148,26.5455,14.8961,0.1792,0.2083,0.1971,541.4,84.6525,85.05,85.185,82.1325,83.58,81.96,42.716,521.52,20.3434,520,488.99
72.5339,33.025,9.53,4.311,12.3,46.866,26.4025,14.8958,0.179,0.2086,0.1974,541.32,84.6225,85.0425,85.1925,82.155,83.5425,81.9975,42.7174,521.46,20.3433,520,489.02
72.537,33.025,9.537,4.284,12.3,46.536,26.2485,14.9041,0.1787,0.209,0.1978,541.2,84.6525,84.9975,85.215,82.1775,83.505,82.05,42.7227,521.37,20.3432,520,489.02
72.5908,33.03,9.546,4.252,12.3,46.176,26.0615,14.9041,0.1785,0.2094,0.1982,541.08,84.6,84.9975,85.2675,82.1775,83.4825,82.005,42.7322,521.25,20.3431,520,489.02
72.5946,33.03,9.556,4.217,12.3,45.786,25.847,14.9041,0.1783,0.2098,0.1986,540.92,84.5925,84.975,85.2225,82.23,83.4675,82.05,42.746,521.1,20.3431,520,489.02
72.5983,33.03,9.568,4.18,12.3,45.354,25.616,14.9041,0.178,0.2103,0.1991,540.68,84.5625,84.945,85.2075,82.2225,83.4525,82.035,42.7716,520.86,20.343,520,489.02
72.5514,33.025,9.582,4.142,12.301,44.868,25.363,14.9041,0.1775,0.2106,0.1993,540.44,84.5625,84.945,85.215,82.26,83.505,82.0125,42.7982,520.62,20.3429,520,489.05
72.5546,33.025,9.592,4.088,12.302,44.718,25.187,14.9041,0.177,0.2107,0.1995,540.16,84.57,84.96,85.245,82.2975,83.5425,81.9675,42.8295,520.35,20.3428,520,489.05
72.5071,33.02,9.601,4.035,12.302,44.496,25.0495,14.9041,0.1764,0.2106,0.1994,539.88,84.615,84.99,85.2825,82.29,83.5575,82.0125,42.8619,520.08,20.3427,520,489.05
72.5096,33.02,9.606,3.989,12.302,44.61,25.011,14.9041,0.1761,0.2106,0.1994,539.64,84.57,84.9525,85.2825,82.3125,83.52,82.0125,42.8916,519.84,20.3427,520,489.05
72.4615,33.015,9.61,3.965,12.302,44.628,25.011,14.9041,0.1762,0.2104,0.1993,539.44,84.585,84.9975,85.2975,82.2975,83.475,82.02,42.9148,519.66,20.3426,520,489.05
72.4127,33.01,9.611,3.972,12.303,44.754,25.0385,14.9041,0.1762,0.2102,0.1989,539.32,84.5475,84.9675,85.2825,82.2675,83.43,82.05,42.9312,519.54,20.3425,520,489.05
