TI_1142.PV,TI_1149A.PV,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,PI_1138A.PV,TI1115A.PV,PDRCA1109.PV,FRC1102.PV,PRA1102.PV,FRSA1101.PV,TIC_1101.PV,FIC_1121.PV,PDRA1102.OUT,TI_1146.PV,PR1102A.PV,PDR1106.PV,TIC_1155.PV,PDR1401.PV
517.459961,521.369995,590.037476,9.368999,541.119995,212.459991,661.349976,0.11978,661.349976,0.117025,669.700012,56.657997,1000.799988,0.112485,168.559998,521.369995,345.329987,70.680008,685.639954,0.18723,4.061,590.037476,12.29
517.459961,521.48999,590.037476,9.365,541.23999,212.459991,661.349976,0.11972,661.349976,0.11695,669.700012,56.784,1000.799988,0.11241,168.475998,521.48999,345.359985,70.650002,685.639954,0.18711,4.066,590.037476,12.29
517.48999,521.609985,590.037476,9.36,541.359985,212.459991,661.349976,0.11964,661.349976,0.116875,669.700012,56.91,1000.799988,0.112335,168.363998,521.609985,345.359985,70.55999,685.639954,0.18696,4.072,590.037476,12.29
517.48999,521.72998,590.037476,9.355,541.47998,212.459991,661.349976,0.11958,661.349976,0.1168,669.700012,57.035999,1000.799988,0.11226,168.265991,521.72998,345.389984,70.499992,685.639954,0.18684,4.078,590.037476,12.29
517.48999,521.849976,590.037476,9.351,541.599976,212.459991,661.349976,0.1195,661.349976,0.116725,669.700012,57.167999,1001.399963,0.112185,168,521.849976,345.389984,70.470001,685.639954,0.18672,4.084,590.037476,12.29
517.48999,522.029968,590.037476,9.344999,541.719971,212.459991,661.349976,0.11938,661.349976,0.116625,669.700012,57.438,1001.399963,0.112065,167.873993,522.029968,345.419983,70.290009,685.639954,0.18642,4.089,590.037476,12.289
517.519958,522.179993,590.037476,9.337999,541.880005,212.459991,661.349976,0.11926,661.349976,0.116475,669.700012,57.689999,1000.799988,0.11193,167.776001,522.179993,345.449982,70.169991,685.679993,0.18618,4.09,590.037476,12.289
517.519958,522.359985,590.037476,9.330999,542.079956,212.459991,661.349976,0.11914,661.349976,0.11635,669.700012,57.917999,1001.399963,0.111795,167.804001,522.359985,345.47998,70.049995,685.679993,0.18594,4.091,590.037476,12.289
517.549988,522.539978,590.037476,9.323,542.23999,212.459991,661.349976,0.11902,661.349976,0.116225,669.700012,58.127998,1001.399963,0.11166,167.692001,522.539978,345.47998,69.959991,685.679993,0.18573,4.1,590.037476,12.289
517.549988,522.719971,590.037476,9.315,542.440002,212.459991,661.349976,0.1189,661.349976,0.1161,669.700012,58.326,1001.399963,0.11154,167.565994,522.719971,345.509979,69.870003,685.679993,0.18555,4.115,590.037476,12.287
517.549988,522.899963,590.037476,9.307,542.599976,212.459991,661.349976,0.11878,661.349976,0.116,669.700012,58.505997,1002,0.11142,167.412003,522.899963,345.539978,69.809998,685.679993,0.18537,4.133,590.037476,12.287
517.580017,523.080017,590.037476,9.299,542.799988,212.459991,661.349976,0.11866,661.349976,0.115875,669.700012,58.674,1002,0.111315,167.285995,523.080017,345.569977,69.720009,685.679993,0.18519,4.148,590.037476,12.287
517.580017,523.26001,590.037476,9.290999,543,212.459991,661.349976,0.11856,661.349976,0.115775,669.700012,58.823997,1002,0.11121,167.187988,523.26001,345.569977,69.689995,685.679993,0.18504,4.158,590.037476,12.287
517.609985,523.440002,590.037476,9.283999,543.200012,212.459991,661.349976,0.11848,661.349976,0.115675,669.700012,58.961998,1002,0.111105,167.145996,523.440002,345.600006,69.629997,685.679993,0.18489,4.165,590.037476,12.287
517.609985,523.589966,590.037476,9.276999,543.359985,212.459991,661.349976,0.1184,661.349976,0.1156,669.700012,59.076,1001.399963,0.111015,167.075989,523.589966,345.600006,69.570007,685.679993,0.18477,4.17,590.037476,12.287
517.640015,523.73999,590.037476,9.27,543.519958,212.459991,661.349976,0.11832,661.349976,0.115525,669.700012,59.166,1002,0.11094,167.047989,523.73999,345.630005,69.57,685.679993,0.18468,4.174,590.037476,12.285999
517.669983,523.890015,590.037476,9.264999,543.679993,212.459991,661.349976,0.11826,661.349976,0.115475,669.700012,59.231998,1002,0.11088,167.033997,523.890015,345.630005,69.570007,685.679993,0.18462,4.177,590.037476,12.285999
517.669983,524.01001,590.037476,9.259,543.839966,212.459991,661.349976,0.11822,661.349976,0.115425,669.700012,59.273998,1002,0.110835,167.005997,524.01001,345.660004,69.540001,685.679993,0.18456,4.18,590.037476,12.285999
517.700012,524.099976,590.037476,9.255,543.959961,212.459991,661.349976,0.11818,661.349976,0.115375,669.700012,59.292,1002,0.110805,166.991989,524.099976,345.660004,69.599998,685.679993,0.18456,4.181,590.037476,12.285999
517.72998,524.190002,590.037476,9.252,544.079956,212.459991,661.349976,0.11816,661.349976,0.115375,669.700012,59.285999,1002,0.110775,166.963989,524.190002,345.660004,69.599998,685.679993,0.18456,4.18,590.037476,12.285999
517.72998,524.25,590.037476,9.249,544.159973,212.479996,661.349976,0.11816,661.349976,0.115375,669.700012,59.25,1001.399963,0.110775,166.921997,524.25,345.660004,69.659996,685.679993,0.18459,4.178,590.037476,12.285999
517.76001,524.309998,590.037476,9.247,544.23999,212.479996,661.349976,0.11816,661.349976,0.115375,669.700012,59.202,1001.399963,0.11079,166.865997,524.309998,345.660004,69.690002,685.679993,0.18465,4.174,590.037476,12.285
517.789978,524.339966,590.037476,9.245999,544.279968,212.479996,661.349976,0.11818,661.349976,0.1154,669.700012,59.135998,1001.399963,0.110805,166.79599,524.339966,345.660004,69.749992,685.679993,0.18471,4.167,590.037476,12.285
517.789978,524.369995,590.037476,9.245999,544.320007,212.479996,661.349976,0.11822,661.349976,0.115425,669.700012,59.063999,1001.399963,0.110835,166.697998,524.369995,345.660004,69.779999,685.679993,0.18477,4.158,590.037476,12.285
517.820007,524.399963,590.037476,9.245999,544.359985,212.479996,661.349976,0.11826,661.349976,0.11545,669.700012,58.991997,1000.799988,0.110865,166.585999,524.399963,345.630005,69.870003,685.679993,0.18486,4.148,590.037476,12.283
517.849976,524.399963,590.037476,9.247,544.359985,212.479996,661.349976,0.1183,661.349976,0.1155,669.700012,58.925999,1000.799988,0.11091,166.473999,524.399963,345.630005,69.900002,685.679993,0.18492,4.137,590.037476,12.283
517.849976,524.429993,590.037476,9.248,544.399963,212.479996,661.349976,0.11832,661.349976,0.115525,669.75,58.931999,1000.799988,0.110925,166.362,524.429993,345.630005,69.900002,685.679993,0.18492,4.124,590.037476,12.283999
517.880005,524.459961,590.037476,9.249,544.399963,212.479996,661.349976,0.1183,661.349976,0.1155,669.75,59.057999,1001.399963,0.110895,166.235992,524.459961,345.630005,69.809998,685.679993,0.1848,4.109,590.037476,12.285
517.909973,524.48999,590.037476,9.247,544.440002,212.479996,661.399963,0.11824,661.399963,0.115425,669.75,59.225998,1001.399963,0.110835,166.110001,524.48999,345.630005,69.75,685.679993,0.18465,4.091,590.037476,12.285
517.909973,524.549988,590.037476,9.243999,544.47998,212.479996,661.399963,0.11816,661.399963,0.11535,669.75,59.405998,1001.399963,0.11076,165.983994,524.549988,345.660004,69.659996,685.679993,0.18447,4.078,590.037476,12.285
517.940002,524.640015,590.037476,9.24,544.519958,212.5,661.399963,0.11808,661.399963,0.115275,669.75,59.591999,1000.799988,0.110655,165.858002,524.640015,345.660004,69.570007,685.679993,0.18429,4.074,590.037476,12.285
517.969971,524.72998,590.037476,9.235,544.599976,212.5,661.399963,0.11798,661.399963,0.115175,669.75,59.958,1001.399963,0.110565,165.746002,524.820007,345.690002,69.449997,685.679993,0.18411,4.081,590.037476,12.285
517.969971,524.820007,590.037476,9.23,544.719971,212.5,661.399963,0.11788,661.399963,0.115075,669.75,60.132,1001.399963,0.11046,165.619995,524.909973,345.720001,69.360008,685.679993,0.18393,4.094,590.037476,12.285999
518,524.909973,590.037476,9.224,544.799988,212.5,661.399963,0.11778,661.399963,0.114975,669.75,60.299999,1001.399963,0.11037,165.494003,525.029968,345.720001,69.269997,685.679993,0.18375,4.106,590.037476,12.285999
518.029968,525.029968,590.037476,9.219,544.919983,212.5,661.399963,0.1177,661.399963,0.1149,669.75,60.455997,1001.399963,0.11028,165.367996,525.149963,345.75,69.210007,685.679993,0.1836,4.117,590.037476,12.285999
518.059998,525.149963,590.037476,9.212999,545.039978,212.5,661.399963,0.11762,661.399963,0.1148,669.75,60.593998,1001.399963,0.11019,165.269989,525.269958,345.75,69.119995,685.679993,0.18342,4.125,590.037476,12.288
518.059998,525.269958,590.070007,9.207,545.159973,212.5,661.399963,0.11754,661.399963,0.114725,669.75,60.731998,1002,0.1101,165.171997,525.390015,345.779999,69.060005,685.719971,0.1833,4.132,590.070007,12.288
518.089966,525.390015,590.070007,9.201,545.279968,212.5,661.399963,0.11746,661.399963,0.114625,669.75,60.863998,1002,0.110025,165.059998,525.51001,345.809998,69.000008,685.719971,0.18315,4.137,590.070007,12.288
518.119995,525.51001,590.070007,9.196,545.399963,212.519989,661.399963,0.11738,661.399963,0.11455,669.75,60.989998,1002,0.109935,164.96199,525.630005,345.809998,68.940002,685.719971,0.18303,4.141,590.070007,12.285999
518.149963,525.630005,590.070007,9.19,545.519958,212.519989,661.399963,0.1173,661.399963,0.114475,669.75,61.104,1001.399963,0.10986,164.877991,525.719971,345.839996,68.909996,685.719971,0.18291,4.145,590.070007,12.285999
518.179993,525.719971,590.070007,9.184,545.640015,212.519989,661.399963,0.11722,661.399963,0.1144,669.75,61.211998,1001.399963,0.109785,164.793991,525.839966,345.839996,68.87999,685.719971,0.18279,4.148,590.070007,12.285999
518.209961,525.839966,590.070007,9.179,545.76001,212.519989,661.399963,0.11714,661.399963,0.114325,669.75,61.307999,1001.399963,0.10971,164.737991,525.929993,345.869995,68.819992,685.719971,0.18267,4.149,590.070007,12.287
518.209961,525.929993,590.070007,9.174,545.880005,212.519989,661.399963,0.11708,661.399963,0.114275,669.75,61.391998,1002,0.10965,164.667999,526.019958,345.869995,68.790009,685.719971,0.18258,4.15,590.070007,12.287
518.23999,526.019958,590.070007,9.169,545.959961,212.519989,661.399963,0.11702,661.399963,0.1142,669.75,61.469997,1002,0.10959,164.612,526.109985,345.869995,68.76001,685.719971,0.18249,4.151,590.070007,12.287
518.269958,526.109985,590.070007,9.164,546.039978,212.519989,661.399963,0.11696,661.399963,0.11415,669.75,61.535999,1002,0.10953,164.569992,526.169983,345.899994,68.730003,685.719971,0.1824,4.151,590.070007,12.287
518.299988,526.169983,590.070007,9.16,546.159973,212.539993,661.399963,0.11692,661.399963,0.1141,669.75,61.59,1001.399963,0.109485,164.513992,526.26001,345.899994,68.729996,685.719971,0.18234,4.15,590.070007,12.287
518.330017,526.26001,590.070007,9.156,546.23999,212.539993,661.399963,0.11688,661.399963,0.11405,669.75,61.625999,1001.399963,0.10944,164.472,526.289978,345.899994,68.699997,685.719971,0.18228,4.148,590.070007,12.287
518.359985,526.289978,590.070007,9.151999,546.279968,212.539993,661.399963,0.11684,661.399963,0.114025,669.75,61.655998,1001.399963,0.109395,164.416,526.349976,345.899994,68.700005,685.719971,0.18225,4.146,590.070007,12.287
518.390015,526.349976,590.070007,9.149,546.359985,212.539993,661.399963,0.11682,661.399963,0.114,669.75,61.674,1001.399963,0.10938,164.401993,526.380005,345.929993,68.699997,685.719971,0.18222,4.144,590.070007,12.287
518.419983,526.380005,590.070007,9.146,546.399963,212.539993,661.399963,0.1168,661.399963,0.113975,669.75,61.68,1001.399963,0.10935,164.373993,526.409973,345.929993,68.729996,685.719971,0.18222,4.14,590.070007,12.287
518.450012,526.409973,590.070007,9.144,546.440002,212.539993,661.399963,0.11678,661.399963,0.113975,669.75,61.674,1001.399963,0.109335,164.360001,526.409973,345.929993,68.729996,685.719971,0.18219,4.136,590.070007,12.287
518.47998,526.409973,590.070007,9.142,546.440002,212.539993,661.399963,0.11678,661.399963,0.11395,669.75,61.661999,1001.399963,0.109335,164.332001,526.409973,345.929993,68.759995,685.719971,0.18222,4.131,590.070007,12.287
518.51001,526.409973,590.070007,9.141,546.47998,212.559998,661.399963,0.11678,661.399963,0.11395,669.75,61.637997,1001.399963,0.109335,164.332001,526.409973,345.929993,68.759995,685.719971,0.18222,4.124,590.070007,12.285999
518.51001,526.409973,590.070007,9.139999,546.47998,212.559998,661.399963,0.11678,661.399963,0.113975,669.75,61.607998,1001.399963,0.109335,164.332001,526.409973,345.929993,68.820007,685.719971,0.18225,4.118,590.070007,12.285999
518.539978,526.409973,590.070007,9.139,546.47998,212.559998,661.399963,0.1168,661.399963,0.113975,669.75,61.571999,1000.799988,0.10935,164.304001,526.380005,345.929993,68.82,685.719971,0.18228,4.111,590.070007,12.285999
518.570007,526.380005,590.070007,9.139,546.440002,212.559998,661.399963,0.11682,661.399963,0.114,669.75,61.559998,1000.799988,0.109365,164.304001,526.320007,345.929993,68.849998,685.719971,0.18231,4.104,590.070007,12.287
518.599976,526.320007,590.070007,9.139,546.399963,212.559998,661.399963,0.11682,661.399963,0.114,669.75,61.542,1000.799988,0.10938,164.332001,526.289978,345.929993,68.87999,685.719971,0.18234,4.096,590.070007,12.287
518.630005,526.289978,590.070007,9.139,546.399963,212.559998,661.399963,0.11684,661.399963,0.114025,669.75,61.535999,1000.799988,0.10938,164.317993,526.26001,345.929993,68.87999,685.719971,0.18234,4.086,590.070007,12.287
518.659973,526.26001,590.070007,9.139999,546.320007,212.580002,661.399963,0.11684,661.399963,0.114025,669.75,61.523998,1000.799988,0.109395,164.345993,526.200012,345.929993,68.910004,685.719971,0.18237,4.077,590.070007,12.287
518.690002,526.200012,590.070007,9.139,546.279968,212.580002,661.399963,0.11684,661.399963,0.114025,669.75,61.505997,1000.799988,0.109395,164.373993,526.140015,345.929993,68.910004,685.719971,0.18237,4.068,590.070007,12.287
518.719971,526.140015,590.070007,9.139999,546.23999,212.580002,661.399963,0.11684,661.399963,0.114025,669.75,61.475998,1000.799988,0.10941,164.416,526.049988,345.899994,68.940002,685.719971,0.1824,4.061,590.070007,12.287
518.719971,526.049988,590.070007,9.139999,546.159973,212.580002,661.399963,0.11686,661.399963,0.11405,669.75,61.445999,1000.799988,0.10941,164.429993,525.98999,345.899994,68.969994,685.719971,0.18243,4.055,590.070007,12.287
518.75,525.98999,590.070007,9.139999,546.079956,212.580002,661.399963,0.11688,661.399963,0.11405,669.75,61.433998,1000.799988,0.109425,164.429993,525.929993,345.899994,69.000008,685.719971,0.18246,4.051,590.070007,12.287
518.779968,525.929993,590.070007,9.141,546.039978,212.580002,661.450012,0.11688,661.450012,0.114075,669.799988,61.421997,1000.799988,0.10944,164.457993,525.869995,345.899994,69.000008,685.719971,0.18246,4.044,590.070007,12.287
518.809998,525.869995,590.070007,9.141,545.959961,212.580002,661.450012,0.1169,661.450012,0.114075,669.799988,61.397999,1000.799988,0.109455,164.472,525.779968,345.899994,69.029999,685.719971,0.18249,4.036,590.070007,12.287
518.809998,525.779968,590.070007,9.142,545.880005,212.599991,661.450012,0.1169,661.450012,0.114075,669.799988,61.362,1000.799988,0.10947,164.528,525.690002,345.899994,69.059998,685.719971,0.18249,4.03,590.070007,12.287
518.839966,525.690002,590.070007,9.142,545.799988,212.599991,661.450012,0.11692,661.450012,0.1141,669.799988,61.32,1000.799988,0.109485,164.569992,525.630005,345.899994,69.060005,685.719971,0.18255,4.026,590.070007,12.287
518.869995,525.630005,590.070007,9.143,545.719971,212.599991,661.450012,0.11694,661.450012,0.114125,669.799988,61.265999,1000.199951,0.1095,164.625992,525.51001,345.899994,69.060005,685.76001,0.18258,4.023,590.070007,12.287
518.899963,525.51001,590.070007,9.144,545.640015,212.599991,661.450012,0.11696,661.450012,0.11415,669.799988,61.199997,1000.199951,0.10953,164.695999,525.419983,345.899994,69.150009,685.76001,0.18264,4.019,590.070007,12.287
518.899963,525.419983,590.070007,9.146,545.559998,212.599991,661.450012,0.11698,661.450012,0.114175,669.799988,61.115997,1000.199951,0.10956,164.779999,525.299988,345.869995,69.18,685.76001,0.1827,4.015,590.070007,12.287
518.929993,525.299988,590.070007,9.146999,545.440002,212.599991,661.450012,0.11702,661.450012,0.114225,669.799988,61.014,1000.199951,0.109605,164.863998,525.179993,345.869995,69.18,685.76001,0.18279,4.01,590.070007,12.287
