PRCA1101B.PV,PI_1136.PV,TI1116A.PV,TI_1142.PV,TI_1149A.PV,FIC_1127.PV,TDRCA1117A.OUT,TI_1152A.PV,PDR1103.PV,TI1105A.PV,TI_1140.PV,TRA1401A.PV,PI_1134.PV,TIA1114.PV,TI1111.PV,PI_1138A.PV,PDI_1138.OUT,TI1115A.PV,TI1135.PV,TRCA1130.PV,PDRCA1109.PV,FRC1102.PV,PI_1180.PV,PRA1102.PV,FRSA1101.PV,PR1401.PV,TI_1150A.PV,TI_1151A.PV,PI_1132A.PV,TIC_1101.PV,PDI_1132.OUT,FIC_1121.PV,PDRA1102.OUT,WR1104.PV,TI_1146.PV,PR1102A.PV,PIK1101A.OUT,PDR1106.PV,TIC_1155.PV,TI1117A.PV,PDR1401.PV
0.15,0.24396,517.399963,517.399963,520.5,600.059998,3.299988,590.005005,9.407,540.359985,212.479996,661.299988,0.12048,661.299988,486.85498,0.117725,4.545003,669.649963,340.549988,212.479996,55.241997,999.599976,0.19944,0.11319,169.806,0.15,520.5,520.5,0.1647,520.5,47.520004,345.209991,71.520004,145.68399,685.599976,0.1887,52.25555,3.994,590.005005,676.200012,12.299
0.15,0.24396,517.399963,517.399963,520.469971,600.059998,3.299988,590.005005,9.406,540.320007,212.479996,661.299988,0.12048,661.299988,486.85498,0.1177,4.519999,669.649963,340.5,212.479996,55.265999,999.599976,0.19944,0.113175,169.778,0.15,520.469971,520.469971,0.16475,520.469971,47.569996,345.209991,71.490005,145.68399,685.599976,0.18867,52.25555,3.997,590.005005,676.200012,12.299
0.15,0.24394,517.399963,517.399963,520.469971,600.059998,3.299988,590.005005,9.406,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,4.519999,669.649963,340.449982,212.479996,55.284,999.599976,0.19944,0.113175,169.763992,0.15,520.469971,520.469971,0.1648,520.469971,47.620007,345.209991,71.490005,145.68399,685.599976,0.18867,52.25555,4.001,590.005005,676.200012,12.299
0.15,0.24394,517.399963,517.399963,520.440002,599.940002,3.299988,590.005005,9.406,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,4.539996,669.649963,340.449982,212.479996,55.295998,999.599976,0.19936,0.113175,169.763992,0.15,520.440002,520.440002,0.16485,520.440002,47.669998,345.209991,71.459991,145.68399,685.599976,0.18864,52.25555,4.005,590.005005,676.200012,12.297999
0.15,0.24394,517.399963,517.399963,520.440002,599.940002,3.299988,590.005005,9.406,540.279968,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,4.539996,669.649963,340.399994,212.479996,55.301998,999.599976,0.19936,0.113175,169.735992,0.15,520.440002,520.440002,0.164875,520.440002,47.695004,345.209991,71.459991,145.68399,685.599976,0.18864,52.25555,4.009,590.005005,676.200012,12.297999
0.15,0.24394,517.399963,517.399963,520.440002,599.940002,3.299988,590.037476,9.406,540.23999,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,4.539996,669.649963,340.350006,212.479996,55.32,999.599976,0.19936,0.11316,169.722,0.15,520.440002,520.440002,0.1649,520.440002,47.719994,345.209991,71.43,145.694992,685.599976,0.18861,52.25555,4.011,590.037476,676.200012,12.297999
0.15,0.24394,517.399963,517.399963,520.440002,600.119995,3.299988,590.037476,9.406,540.23999,212.479996,661.299988,0.12046,661.299988,486.85498,0.1177,4.539996,669.649963,340.299988,212.479996,55.343998,999.599976,0.19936,0.11316,169.722,0.15,520.440002,520.440002,0.164875,520.440002,47.715,345.209991,71.430008,145.694992,685.599976,0.18858,52.25555,4.012,590.037476,676.200012,12.297999
0.14997,0.24394,517.399963,517.399963,520.409973,600.119995,3.299988,590.037476,9.405,540.23999,212.479996,661.299988,0.12044,661.299988,486.85498,0.117675,4.534997,669.649963,340.25,212.479996,55.355999,999.599976,0.19928,0.113145,169.694,0.14997,520.409973,520.409973,0.164875,520.409973,47.715,345.209991,71.430008,145.694992,685.599976,0.18858,52.246937,4.013,590.037476,676.200012,12.297999
0.14997,0.24392,517.399963,517.399963,520.409973,600.119995,3.299988,590.037476,9.405,540.23999,212.479996,661.299988,0.12044,661.299988,486.85498,0.117675,4.534997,669.649963,340.199982,212.479996,55.368,999.599976,0.19928,0.113145,169.694,0.14997,520.409973,520.409973,0.1649,520.409973,47.73999,345.209991,71.399994,145.694992,685.599976,0.18855,52.246658,4.013,590.037476,676.200012,12.297
0.14997,0.24392,517.399963,517.399963,520.440002,599.940002,3.299988,590.037476,9.405,540.23999,212.479996,661.299988,0.12044,661.299988,486.85498,0.117675,4.534997,669.649963,340.199982,212.479996,55.373997,999.599976,0.19928,0.113145,169.679993,0.14997,520.440002,520.440002,0.164925,520.440002,47.764996,345.209991,71.399994,145.694992,685.639954,0.18855,52.24638,4.014,590.037476,676.200012,12.297
