LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.244,32.99,9.595,4.119,12.306,45.48,25.495,14.9063,0.1781,0.2097,0.1985,539.24,84.615,84.9825,85.1475,82.2675,83.5425,82.005,42.9413,519.51,20.3433,489.02
72.2427,32.99,9.598,4.149,12.306,45.516,25.429,14.9063,0.1781,0.2097,0.1985,539.28,84.57,84.945,85.2075,82.2225,83.5575,82.005,42.9433,519.51,20.3432,489.02
72.2415,32.99,9.598,4.153,12.306,45.498,25.3905,14.9063,0.178,0.2098,0.1985,539.28,84.585,84.9975,85.2,82.185,83.5425,82.005,42.9453,519.51,20.3431,489.02
72.2402,32.99,9.599,4.14,12.305,45.396,25.374,14.9063,0.1779,0.2098,0.1986,539.28,84.6075,85.035,85.1925,82.1625,83.5725,81.975,42.9435,519.54,20.3431,489.02
72.239,32.99,9.601,4.129,12.305,45.48,25.3355,14.9063,0.1777,0.2098,0.1985,539.32,84.6075,84.9975,85.2375,82.17,83.5425,81.96,42.9529,519.48,20.343,489.02
72.2377,32.99,9.601,4.117,12.305,45.378,25.3355,14.9063,0.1777,0.2099,0.1986,539.24,84.6,85.05,85.23,82.215,83.565,82.005,42.9625,519.42,20.3429,489.02
72.2365,32.99,9.602,4.113,12.305,45.186,25.3135,14.9063,0.1779,0.2101,0.1988,539.2,84.555,85.0725,85.2075,82.215,83.58,82.05,42.9724,519.36,20.3428,488.99
72.1846,32.985,9.606,4.121,12.305,44.946,25.2475,14.9063,0.1781,0.2102,0.1991,539.12,84.585,85.0575,85.17,82.2225,83.565,82.0875,42.9825,519.3,20.3427,488.99
72.1827,32.985,9.611,4.128,12.305,44.97,25.132,14.9063,0.1779,0.2102,0.199,539.08,84.6,85.0725,85.2225,82.2225,83.5425,82.1025,42.9928,519.24,20.3427,488.99
72.1809,32.985,9.613,4.111,12.305,44.97,25.0825,14.9063,0.1776,0.2103,0.199,539.04,84.6225,85.08,85.1925,82.1925,83.49,82.0875,43.0034,519.18,20.3426,488.99
72.179,32.985,9.615,4.085,12.304,44.922,25.0605,14.9063,0.1774,0.2103,0.1991,538.96,84.6675,85.0575,85.1625,82.2375,83.505,82.065,43.0105,519.15,20.3425,488.99
72.1265,32.98,9.617,4.07,12.304,44.868,25.0385,14.9063,0.1774,0.2103,0.1991,538.88,84.6975,85.05,85.14,82.245,83.5425,82.08,43.0214,519.09,20.3424,488.99
72.124,32.98,9.619,4.068,12.304,44.862,25.011,14.9063,0.1775,0.2103,0.1991,538.84,84.6375,85.0425,85.1775,82.2825,83.5575,82.05,43.0289,519.06,20.3424,488.99
72.1215,32.98,9.62,4.07,12.304,44.952,24.989,14.9063,0.1775,0.2102,0.1991,538.8,84.6675,84.9975,85.1925,82.32,83.5575,82.08,43.0364,519.03,20.3423,488.96
72.0683,32.975,9.62,4.069,12.304,45.012,25.0055,14.9063,0.1774,0.2102,0.199,538.8,84.6075,85.035,85.155,82.32,83.52,82.0275,43.0403,519.03,20.3422,488.96
72.0652,32.975,9.619,4.069,12.304,45.066,25.033,14.9063,0.1775,0.2102,0.1989,538.76,84.6,84.99,85.14,82.29,83.52,82.05,43.048,519,20.3421,488.96
72.0621,32.975,9.619,4.075,12.304,45.084,25.0605,14.9063,0.1776,0.2102,0.1989,538.76,84.6375,85.02,85.17,82.32,83.49,82.0125,43.052,519,20.3421,488.96
