TIA1160A.PV,AR1410B.PV,DR1107.PV,FRCA1112.PV,FI1112.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,CCSFIC1401.PV,TIC_1155.PV
184.015,86.475,287.415,3000.0,3000.0,148.6575,145.684,0.2077,186274,590.9475
184.015,86.075,286.5375,3000.0,3000.0,148.6462,145.673,0.2075,186274,591.3375
184.015,86.0,287.415,3000.0,3000.0,148.635,145.662,0.2078,186274,591.7275
184.015,86.25,286.9875,3000.0,3000.0,148.6125,145.64,0.2086,186285,592.085
184.015,86.8,287.235,3000.25,3000.25,148.5562,145.585,0.2086,186296,592.41
184.015,86.475,286.8975,3000.25,3000.25,148.4887,145.519,0.2078,186307,592.735
184.015,86.925,286.65,3000.25,3000.25,148.4212,145.453,0.2066,186318,593.0275
184.015,86.75,286.83,3000.25,3000.25,148.365,145.398,0.205,186318,593.3525
184.015,86.3,286.74,3000.25,3000.25,148.2862,145.321,0.2032,186329,593.645
184.015,86.275,285.7275,3000.25,3000.25,148.2188,145.255,0.2014,186340,593.9375
184.015,86.05,286.065,3000.25,3000.25,148.14,145.178,0.1996,186340,594.23
184.015,86.1,285.39,3000.25,3000.25,148.0612,145.101,0.198,186351,594.555
184.015,86.625,285.5925,3000.25,3000.25,147.9825,145.024,0.1965,186362,594.8475
184.015,86.6,285.5025,3000.25,3000.25,147.9037,144.936,0.1954,186362,595.14
184.015,86.5,285.39,3000.25,3000.25,147.8138,144.859,0.1949,186373,595.465
184.015,86.675,285.5025,2999.25,2999.25,147.7237,144.771,0.1949,186373,595.7575
184.015,86.625,285.525,2999.25,2999.25,147.645,144.683,0.1953,186384,596.0825
184.015,86.6,285.2325,2999.25,2999.25,147.555,144.606,0.1961,186384,596.375
184.015,86.425,284.895,3000.25,3000.25,147.4762,144.529,0.1973,186384,596.6675
184.015,86.25,284.8725,3000.25,3000.25,147.3975,144.441,0.1987,186395,596.9925
184.015,86.075,284.445,3000.25,3000.25,147.3187,144.375,0.2004,186395,597.285
184.015,86.925,284.58,3000.25,3000.25,147.24,144.298,0.2021,186395,597.5775
184.015,86.85,283.725,3000.25,3000.25,147.1725,144.232,0.2039,186395,597.87
184.015,86.375,284.49,3000.25,3000.25,147.1162,144.166,0.2056,186395,598.1625
184.015,86.2,284.265,3000.25,3000.25,147.0488,144.111,1.4086,186395,598.455
184.015,86.975,284.22,3004.5,3004.5,147.06,144.122,1.4089,186835,598.715
183.95,86.575,283.635,3006.25,3006.25,146.925,143.979,1.409,187198,599.0075
183.95,86.625,282.69,3008.0,3008.0,146.6438,143.715,1.4091,187517,599.3
183.95,86.975,282.6,3006.25,3006.25,146.4413,143.517,1.4092,187891,599.6575
183.95,86.825,282.555,3007.5,3007.5,146.1263,143.209,1.4093,188243,600.015
183.95,86.825,282.555,3007.5,3007.5,146.1263,143.209,1.4093,188243,600.015
183.885,86.425,281.565,3006.5,3006.5,145.575,142.67,1.4094,188903,600.8275
183.885,86.425,281.565,3006.5,3006.5,144.9563,142.67,1.4094,188903,600.8275
183.885,86.825,280.035,3004.5,3004.5,144.9563,142.054,1.4096,189497,601.64
183.82,86.65,279.63,3003.75,3003.75,144.6975,141.801,1.4097,189772,602.0625
183.82,86.65,279.63,3003.75,3003.75,144.6975,141.801,1.4097,189772,602.0625
183.755,86.275,278.865,3000.75,3000.75,144.315,141.427,1.4098,189926,602.4525
183.755,86.475,277.785,3000.75,3000.75,144.0788,141.196,1.4099,190135,602.875
183.69,86.8,277.7625,3000.25,3000.25,143.6625,140.789,1.41,190300,603.265
183.56,86.025,275.5125,2999.25,2999.25,142.83,139.975,1.4102,190531,604.0125
183.56,86.025,275.5125,2999.25,2999.25,142.83,139.975,1.4102,190531,604.0125
183.43,86.775,274.41,2998.5,2998.5,141.9975,139.15,1.4103,190630,604.7275
183.43,86.775,274.41,2998.5,2998.5,141.9975,139.15,1.4103,190630,604.7275
183.235,86.85,273.33,2997.25,2997.25,141.165,138.743,1.4105,190652,605.4425
183.17,86.15,272.295,2996.5,2996.5,140.7487,137.929,1.4106,190619,605.8
183.105,86.35,271.485,2997.75,2997.75,139.9162,137.533,1.4106,190575,606.1575
183.04,86.225,270.1575,2997.0,2997.0,139.9162,137.126,1.4107,190520,606.515
182.91,86.65,269.3925,2997.5,2997.5,139.5112,136.719,1.4108,190465,606.84
182.845,86.05,269.055,2997.0,2997.0,139.095,136.312,1.4109,190410,607.1975
182.845,86.05,269.055,2997.0,2997.0,139.095,136.312,1.4109,190410,607.1975
182.715,86.7,267.3,2998.0,2998.0,138.2737,135.498,1.411,190300,607.88
182.65,86.925,265.905,2997.5,2997.5,137.8575,135.102,1.4111,190245,608.205
182.585,86.9,265.14,2997.5,2997.5,137.4413,134.695,1.4112,190190,608.5625
182.585,86.9,265.14,2997.5,2997.5,137.4413,134.695,1.4112,190190,608.5625
182.52,86.825,264.8475,2997.25,2997.25,137.025,134.288,1.4113,190146,608.8875
182.455,86.925,264.0825,2999.0,2999.0,136.62,133.881,1.4114,190113,609.2125
182.325,86.5,262.5975,2998.75,2998.75,135.7875,133.078,1.4115,190036,609.895
182.325,86.5,262.5975,2998.75,2998.75,135.7875,133.078,1.4115,190036,609.895
182.26,86.3,261.0225,2998.75,2998.75,134.9662,132.264,1.4117,189981,610.545
182.26,86.3,261.0225,2998.75,2998.75,134.9662,132.264,1.4117,189981,610.545
182.195,86.25,259.7175,2999.75,2999.75,134.55,131.868,1.4118,189959,610.87
182.195,86.975,259.47,2999.75,2999.75,134.145,131.461,1.4118,189948,611.195
182.13,86.275,257.9625,2999.75,2999.75,133.7287,131.054,1.4118,189926,611.52
182.13,86.65,257.31,2999.75,2999.75,133.3237,130.658,1.4119,189915,611.845
182.065,86.625,255.8025,2999.75,2999.75,132.4912,129.844,1.4121,189882,612.495
182.065,86.625,255.8025,2999.75,2999.75,132.4912,129.844,1.4121,189882,612.495
182.065,86.725,255.0375,2999.75,2999.75,132.0862,129.437,1.4122,189871,612.7875
182.0,86.425,253.3725,2999.75,2999.75,131.265,128.634,1.4122,189838,613.4375
182.0,86.425,253.3725,2999.75,2999.75,131.265,128.634,1.4122,189838,613.4375
182.0,86.575,251.865,2999.75,2999.75,130.4325,127.831,1.4124,189816,614.055
182.0,86.425,251.3475,2999.75,2999.75,130.0275,127.424,1.4125,189805,614.3475
182.0,86.425,251.3475,2999.75,2999.75,130.0275,127.424,1.4125,189805,614.3475
182.0,86.225,250.4925,2999.75,2999.75,129.6113,127.017,1.4126,189794,614.6725
182.0,86.0,249.5475,2999.75,2999.75,129.2063,126.621,1.4126,189783,614.965
182.0,86.275,248.985,2999.75,2999.75,128.79,126.214,1.4126,189772,615.2575
182.0,86.525,247.7925,2999.5,2999.5,128.385,125.807,1.4127,189761,615.5825
182.0,86.35,246.915,3000.5,3000.5,127.9688,125.411,1.4128,189750,615.875
181.935,86.55,246.96,3000.5,3000.5,127.5525,125.004,1.4129,189750,616.1675
181.935,86.45,245.97,3000.5,3000.5,127.1475,124.608,1.4129,189739,616.46
181.935,86.7,244.035,2999.5,2999.5,126.3262,123.794,1.413,189728,617.045
182.0,86.8,243.4275,2999.5,2999.5,125.91,123.398,1.4131,189728,617.3375
182.0,86.8,243.4275,2999.5,2999.5,125.91,123.398,1.4131,189728,617.3375
